"2002-2003 County To County Migration  Outflows",,,,,,Florida,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Florida,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
,,,,,,,,
12,000,96,000,FL,"Total Mig - US & For",433752,792060,16297018
12,000,97,000,FL,"Total Mig - US",424604,776013,16033727
12,000,97,001,FL,"Total Mig - US Same St",244454,447287,9146796
12,000,97,003,FL,"Total Mig - US Diff St",180150,328726,6886931
12,000,98,000,FL,"Total Mig - Foreign",9148,16047,263292
12,001,96,000,FL,"Alachua County Tot Mig-US & For",7810,12672,256688
12,001,97,000,FL,"Alachua County Tot Mig-US",7712,12528,254753
12,001,97,001,FL,"Alachua County Tot Mig-Same St",4712,7511,141610
12,001,97,003,FL,"Alachua County Tot Mig-Diff St",3000,5017,113144
12,001,98,000,FL,"Alachua County Tot Mig-Foreign",98,144,1934
12,001,12,001,FL,"Alachua County Non-Migrants",69821,140566,3209915
12,001,12,031,FL,"Duval County",385,584,12257
12,001,12,095,FL,"Orange County",370,548,10494
12,001,12,057,FL,"Hillsborough County",323,465,9194
12,001,12,083,FL,"Marion County",311,533,9597
12,001,12,011,FL,"Broward County",257,354,6222
12,001,12,103,FL,"Pinellas County",222,311,6721
12,001,12,099,FL,"Palm Beach County",209,282,5622
12,001,12,075,FL,"Levy County",176,338,4434
12,001,12,086,FL,"Miami Dade County",173,232,3708
12,001,12,023,FL,"Columbia County",163,308,4198
12,001,12,073,FL,"Leon County",140,219,9245
12,001,12,009,FL,"Brevard County",135,218,3490
12,001,12,117,FL,"Seminole County",134,180,3864
12,001,12,107,FL,"Putnam County",130,232,3241
12,001,12,019,FL,"Clay County",122,245,4408
12,001,12,041,FL,"Gilchrist County",110,202,2952
12,001,12,007,FL,"Bradford County",105,229,3050
12,001,12,127,FL,"Volusia County",99,168,3742
12,001,12,109,FL,"St Johns County",94,157,3454
12,001,12,071,FL,"Lee County",84,129,2756
12,001,12,115,FL,"Sarasota County",80,109,2005
12,001,12,069,FL,"Lake County",72,118,2600
12,001,12,105,FL,"Polk County",67,119,1710
12,001,13,121,GA,"Fulton County",61,82,1478
12,001,12,081,FL,"Manatee County",58,108,1709
12,001,12,125,FL,"Union County",55,112,1328
12,001,13,067,GA,"Cobb County",53,81,1618
12,001,13,089,GA,"De Kalb County",49,70,1555
12,001,06,037,CA,"Los Angeles County",46,59,1226
12,001,12,101,FL,"Pasco County",46,62,1283
12,001,12,021,FL,"Collier County",44,60,1355
12,001,48,201,TX,"Harris County",44,79,2032
12,001,12,033,FL,"Escambia County",43,64,1295
12,001,12,111,FL,"St Lucie County",43,78,1278
12,001,12,005,FL,"Bay County",42,61,1111
12,001,12,091,FL,"Okaloosa County",42,57,1052
12,001,37,119,NC,"Mecklenburg County",40,73,1246
12,001,36,061,NY,"New York County",39,42,923
12,001,53,033,WA,"King County",39,49,1351
12,001,12,017,FL,"Citrus County",38,73,1269
12,001,51,059,VA,"Fairfax County",37,56,1220
12,001,06,073,CA,"San Diego County",36,55,1469
12,001,17,031,IL,"Cook County",34,44,924
12,001,12,085,FL,"Martin County",33,46,1141
12,001,12,121,FL,"Suwannee County",33,52,909
12,001,13,135,GA,"Gwinnett County",33,47,970
12,001,12,097,FL,"Osceola County",32,50,1178
12,001,12,035,FL,"Flagler County",31,53,690
12,001,24,031,MD,"Montgomery County",29,45,1047
12,001,48,113,TX,"Dallas County",28,51,1440
12,001,12,061,FL,"Indian River County",25,33,636
12,001,57,005,FR,"Foreign - APO/FPO ZIPs",25,33,600
12,001,37,183,NC,"Wake County",24,42,1024
12,001,48,453,TX,"Travis County",24,29,813
12,001,04,013,AZ,"Maricopa County",23,30,1083
12,001,12,015,FL,"Charlotte County",23,51,928
12,001,42,101,PA,"Philadelphia County",22,28,611
12,001,06,085,CA,"Santa Clara County",21,36,1057
12,001,12,053,FL,"Hernando County",21,34,628
12,001,25,025,MA,"Suffolk County",21,22,497
12,001,47,037,TN,"Davidson County",21,34,739
12,001,26,161,MI,"Washtenaw County",20,30,701
12,001,36,047,NY,"Kings County",20,28,624
12,001,37,063,NC,"Durham County",20,32,734
12,001,51,013,VA,"Arlington County",20,23,677
12,001,39,049,OH,"Franklin County",19,30,706
12,001,25,017,MA,"Middlesex County",18,27,483
12,001,45,019,SC,"Charleston County",18,20,441
12,001,11,001,DC,"District Of Columbia",17,21,518
12,001,37,051,NC,"Cumberland County",17,42,417
12,001,08,013,CO,"Boulder County",16,18,403
12,001,37,021,NC,"Buncombe County",16,29,575
12,001,42,003,PA,"Allegheny County",16,32,1097
12,001,47,093,TN,"Knox County",16,24,786
12,001,01,073,AL,"Jefferson County",15,27,837
12,001,09,009,CT,"New Haven County",15,25,615
12,001,13,051,GA,"Chatham County",15,25,487
12,001,06,059,CA,"Orange County",14,21,556
12,001,12,087,FL,"Monroe County",14,23,630
12,001,13,059,GA,"Clarke County",14,21,281
12,001,13,063,GA,"Clayton County",14,15,236
12,001,21,111,KY,"Jefferson County",14,29,510
12,001,48,439,TX,"Tarrant County",14,26,604
12,001,12,029,FL,"Dixie County",13,18,298
12,001,12,113,FL,"Santa Rosa County",13,30,363
12,001,13,073,GA,"Columbia County",13,41,991
12,001,29,189,MO,"St Louis County",13,15,434
12,001,35,001,NM,"Bernalillo County",13,20,383
12,001,12,089,FL,"Nassau County",12,18,291
12,001,13,127,GA,"Glynn County",12,24,592
12,001,22,071,LA,"Orleans Parish",12,19,208
12,001,24,005,MD,"Baltimore County",12,17,283
12,001,32,003,NV,"Clark County",12,22,277
12,001,37,067,NC,"Forsyth County",12,17,571
12,001,37,081,NC,"Guilford County",12,15,305
12,001,45,079,SC,"Richland County",12,15,452
12,001,51,510,VA,Alexandria,12,12,277
12,001,51,810,VA,"Virginia Beach",12,25,204
12,001,04,019,AZ,"Pima County",11,20,1087
12,001,13,185,GA,"Lowndes County",11,19,417
12,001,18,105,IN,"Monroe County",11,14,545
12,001,24,027,MD,"Howard County",11,26,546
12,001,36,081,NY,"Queens County",11,16,217
12,001,47,157,TN,"Shelby County",11,17,327
12,001,48,029,TX,"Bexar County",11,32,402
12,001,18,097,IN,"Marion County",10,18,347
12,001,21,067,KY,"Fayette County",10,15,441
12,001,27,053,MN,"Hennepin County",10,11,211
12,001,42,091,PA,"Montgomery County",10,18,392
12,001,44,007,RI,"Providence County",10,15,255
12,001,48,085,TX,"Collin County",10,17,541
12,001,55,025,WI,"Dane County",10,14,238
12,001,58,000,SS,"Other Flows - Same State",90,148,3271
12,001,59,000,DS,"Other Flows - Diff State",1634,2924,65590
12,001,59,001,DS,"Other Flows - Northeast",309,530,12270
12,001,59,003,DS,"Other Flows - Midwest",313,561,10647
12,001,59,005,DS,"Other Flows - South",745,1371,26982
12,001,59,007,DS,"Other Flows - West",267,462,15692
12,001,57,009,FR,"Foreign - Other flows",73,111,1334
12,003,96,000,FL,"Baker County Tot Mig-US & For",557,1142,14923
12,003,97,000,FL,"Baker County Tot Mig-US",557,1142,14923
12,003,97,001,FL,"Baker County Tot Mig-Same St",411,852,11051
12,003,97,003,FL,"Baker County Tot Mig-Diff St",146,290,3872
12,003,12,003,FL,"Baker County Non-Migrants",6902,16499,266536
