"2003-2004 County to County Migration Inflow",,,,,,,,"Indiana Inflows"
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Indiana,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
18,000,96,000,IN,"Total Mig - US & For",145388,279849,5373220
18,000,97,000,IN,"Total Mig - US",142755,276414,5335939
18,000,97,001,IN,"Total Mig - US Same St",90542,171566,3253257
18,000,97,003,IN,"Total Mig - US Diff St",52213,104848,2082682
18,000,98,000,IN,"Total Mig - Foreign",2633,3435,37281
18,001,96,000,IN,"Adams County Tot Mig-US & For",485,960,14922
18,001,97,000,IN,"Adams County Tot Mig-US",485,960,14922
18,001,97,001,IN,"Adams County Tot Mig-Same St",323,645,10284
18,001,97,003,IN,"Adams County Tot Mig-Diff St",162,315,4639
18,001,18,001,IN,"Adams County Non-Migrants",11713,29651,497166
18,001,18,003,IN,"Allen County",114,221,3535
18,001,18,179,IN,"Wells County",64,140,2097
18,001,18,075,IN,"Jay County",47,93,1898
18,001,39,161,OH,"Van Wert County",23,35,1051
18,001,39,107,OH,"Mercer County",17,44,430
18,001,18,069,IN,"Huntington County",13,24,301
18,001,58,000,SS,"Other Flows - Same State",85,167,2452
18,001,59,000,DS,"Other Flows - Diff State",122,236,3158
18,003,96,000,IN,"Allen County Tot Mig-US & For",5398,10247,202556
18,003,97,000,IN,"Allen County Tot Mig-US",5362,10181,201629
18,003,97,001,IN,"Allen County Tot Mig-Same St",2721,4788,85708
18,003,97,003,IN,"Allen County Tot Mig-Diff St",2641,5393,115920
18,003,98,000,IN,"Allen County Tot Mig-Foreign",36,66,927
18,003,18,003,IN,"Allen County Non-Migrants",124904,281698,6355397
18,003,18,033,IN,"De Kalb County",299,525,8613
18,003,18,183,IN,"Whitley County",296,521,8489
18,003,18,113,IN,"Noble County",215,355,6144
18,003,18,069,IN,"Huntington County",203,339,7626
18,003,18,179,IN,"Wells County",173,319,4905
18,003,18,097,IN,"Marion County",172,280,5707
18,003,18,001,IN,"Adams County",154,262,4338
18,003,18,085,IN,"Kosciusko County",139,265,3975
18,003,18,151,IN,"Steuben County",135,215,4508
18,003,17,031,IL,"Cook County",94,177,3269
18,003,18,141,IN,"St Joseph County",86,179,3167
18,003,18,039,IN,"Elkhart County",72,139,2620
18,003,18,087,IN,"Lagrange County",62,96,2169
18,003,18,105,IN,"Monroe County",61,90,1364
18,003,39,125,OH,"Paulding County",55,98,1662
18,003,18,169,IN,"Wabash County",54,78,1361
18,003,18,057,IN,"Hamilton County",51,101,2688
18,003,18,035,IN,"Delaware County",50,75,1444
18,003,18,089,IN,"Lake County",50,102,1169
18,003,39,039,OH,"Defiance County",50,90,1768
18,003,18,157,IN,"Tippecanoe County",45,78,1495
18,003,18,053,IN,"Grant County",39,69,1020
18,003,18,095,IN,"Madison County",31,61,1236
18,003,06,037,CA,"Los Angeles County",29,66,1172
18,003,04,013,AZ,"Maricopa County",28,53,1143
18,003,17,043,IL,"Du Page County",27,61,1363
18,003,39,161,OH,"Van Wert County",27,68,1399
18,003,18,127,IN,"Porter County",26,42,1043
18,003,39,003,OH,"Allen County",26,48,730
18,003,26,163,MI,"Wayne County",25,49,605
18,003,39,113,OH,"Montgomery County",25,46,1061
18,003,12,071,FL,"Lee County",24,34,1843
18,003,26,077,MI,"Kalamazoo County",24,52,1995
18,003,39,061,OH,"Hamilton County",23,37,740
18,003,39,095,OH,"Lucas County",23,53,4905
18,003,18,067,IN,"Howard County",22,46,963
18,003,26,125,MI,"Oakland County",22,44,1749
18,003,18,177,IN,"Wayne County",21,37,674
18,003,39,049,OH,"Franklin County",21,45,851
18,003,26,023,MI,"Branch County",20,35,696
18,003,12,103,FL,"Pinellas County",19,36,314
18,003,18,091,IN,"La Porte County",19,38,403
18,003,39,035,OH,"Cuyahoga County",19,39,1000
18,003,26,081,MI,"Kent County",18,39,814
18,003,26,099,MI,"Macomb County",17,24,862
18,003,26,161,MI,"Washtenaw County",17,33,563
18,003,39,171,OH,"Williams County",17,25,401
18,003,18,009,IN,"Blackford County",16,31,531
18,003,18,103,IN,"Miami County",16,30,417
18,003,18,167,IN,"Vigo County",16,20,458
18,003,12,057,FL,"Hillsborough County",15,27,578
18,003,18,017,IN,"Cass County",15,28,548
18,003,18,099,IN,"Marshall County",15,27,478
18,003,57,005,FR,"Foreign - APO/FPO ZIPs",15,24,276
18,003,06,073,CA,"San Diego County",14,34,486
18,003,06,085,CA,"Santa Clara County",14,26,974
18,003,18,063,IN,"Hendricks County",14,26,641
18,003,18,081,IN,"Johnson County",14,31,610
18,003,39,107,OH,"Mercer County",14,35,562
18,003,48,201,TX,"Harris County",14,35,476
18,003,17,201,IL,"Winnebago County",13,26,475
18,003,26,025,MI,"Calhoun County",13,17,478
18,003,26,065,MI,"Ingham County",13,24,411
18,003,06,071,CA,"San Bernardino Count",12,31,495
18,003,08,041,CO,"El Paso County",12,27,465
18,003,12,115,FL,"Sarasota County",12,23,804
18,003,17,197,IL,"Will County",12,32,812
18,003,26,049,MI,"Genesee County",12,31,380
18,003,26,145,MI,"Saginaw County",12,29,360
18,003,26,149,MI,"St Joseph County",12,30,328
18,003,12,081,FL,"Manatee County",11,17,218
18,003,17,097,IL,"Lake County",11,26,610
18,003,18,049,IN,"Fulton County",11,15,253
18,003,21,111,KY,"Jefferson County",11,18,640
18,003,47,037,TN,"Davidson County",11,25,324
18,003,47,149,TN,"Rutherford County",11,27,468
18,003,55,079,WI,"Milwaukee County",11,30,532
18,003,06,059,CA,"Orange County",10,25,344
18,003,12,086,FL,"Miami Dade County",10,19,166
18,003,17,143,IL,"Peoria County",10,14,266
18,003,27,053,MN,"Hennepin County",10,16,385
18,003,32,003,NV,"Clark County",10,17,305
18,003,39,011,OH,"Auglaize County",10,17,258
18,003,39,017,OH,"Butler County",10,32,653
18,003,39,153,OH,"Summit County",10,10,323
18,003,48,439,TX,"Tarrant County",10,19,517
18,003,53,033,WA,"King County",10,16,408
18,003,58,000,SS,"Other Flows - Same State",129,268,4652
18,003,59,000,DS,"Other Flows - Diff State",1631,3386,70513
18,003,59,001,DS,"Other Flows - Northeast",220,474,13354
18,003,59,003,DS,"Other Flows - Midwest",516,1045,22553
18,003,59,005,DS,"Other Flows - South",703,1453,28313
18,003,59,007,DS,"Other Flows - West",192,414,6293
18,003,57,009,FR,"Foreign - Other flows",21,42,652
18,005,96,000,IN,"Bartholomew Cou Tot Mig-US & For",1714,3497,62262
18,005,97,000,IN,"Bartholomew Cou Tot Mig-US",1684,3439,61009
18,005,97,001,IN,"Bartholomew Cou Tot Mig-Same St",1137,2294,36882
18,005,97,003,IN,"Bartholomew Cou Tot Mig-Diff St",547,1145,24127
18,005,98,000,IN,"Bartholomew Cou Tot Mig-Foreign",30,58,1253
18,005,18,005,IN,"Bartholomew Cou Non-Migrants",28435,64587,1468205
18,005,18,081,IN,"Johnson County",166,359,5696
18,005,18,071,IN,"Jackson County",156,336,5135
18,005,18,079,IN,"Jennings County",153,322,4111
18,005,18,097,IN,"Marion County",112,203,3575
18,005,18,013,IN,"Brown County",86,176,2677
18,005,18,031,IN,"Decatur County",72,159,2092
18,005,18,105,IN,"Monroe County",48,94,1351
18,005,18,145,IN,"Shelby County",47,97,1341
18,005,18,157,IN,"Tippecanoe County",25,28,888
18,005,18,077,IN,"Jefferson County",21,39,574
18,005,18,109,IN,"Morgan County",15,22,385
18,005,18,057,IN,"Hamilton County",14,35,807
18,005,18,143,IN,"Scott County",14,30,397
18,005,18,093,IN,"Lawrence County",12,17,419
18,005,17,031,IL,"Cook County",11,22,504
18,005,18,047,IN,"Franklin County",11,17,489
18,005,18,019,IN,"Clark County",10,16,358
18,005,18,035,IN,"Delaware County",10,15,268
18,005,18,063,IN,"Hendricks County",10,19,437
18,005,58,000,SS,"Other Flows - Same State",155,310,5882
18,005,59,000,DS,"Other Flows - Diff State",536,1123,23624
18,005,59,001,DS,"Other Flows - Northeast",44,87,2609
18,005,59,003,DS,"Other Flows - Midwest",165,383,8127
18,005,59,005,DS,"Other Flows - South",253,500,8797
18,005,59,007,DS,"Other Flows - West",74,153,4091
18,005,57,009,FR,"Foreign - Other flows",30,58,1253
18,007,96,000,IN,"Benton County Tot Mig-US & For",272,540,7502
18,007,97,000,IN,"Benton County Tot Mig-US",272,540,7502
18,007,97,001,IN,"Benton County Tot Mig-Same St",215,429,5847
18,007,97,003,IN,"Benton County Tot Mig-Diff St",57,111,1655
18,007,18,007,IN,"Benton County Non-Migrants",3505,8139,139407
18,007,18,157,IN,"Tippecanoe County",117,228,3287
18,007,18,111,IN,"Newton County",19,36,369
18,007,18,171,IN,"Warren County",17,34,365
18,007,18,073,IN,"Jasper County",12,21,176
18,007,18,181,IN,"White County",11,30,307
18,007,58,000,SS,"Other Flows - Same State",39,80,1343
18,007,59,000,DS,"Other Flows - Diff State",57,111,1655
18,009,96,000,IN,"Blackford Count Tot Mig-US & For",327,683,9226
18,009,97,000,IN,"Blackford Count Tot Mig-US",327,683,9226
18,009,97,001,IN,"Blackford Count Tot Mig-Same St",273,561,7835
18,009,97,003,IN,"Blackford Count Tot Mig-Diff St",54,122,1391
18,009,18,009,IN,"Blackford Count Non-Migrants",6003,13421,242080
18,009,18,035,IN,"Delaware County",59,115,2112
18,009,18,053,IN,"Grant County",52,109,1522
18,009,18,075,IN,"Jay County",43,80,1210
18,009,18,179,IN,"Wells County",37,89,865
18,009,18,135,IN,"Randolph County",12,27,340
18,009,58,000,SS,"Other Flows - Same State",70,141,1785
18,009,59,000,DS,"Other Flows - Diff State",54,122,1391
18,011,96,000,IN,"Boone County Tot Mig-US & For",1807,3889,114944
18,011,97,000,IN,"Boone County Tot Mig-US",1807,3889,114944
18,011,97,001,IN,"Boone County Tot Mig-Same St",1355,2831,77874
18,011,97,003,IN,"Boone County Tot Mig-Diff St",452,1058,37069
