"2003-2004 County to County Migration Inflow",,,,,,,,"Massachusetts Inflows"
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Massachusetts,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
25,000,96,000,MA,"Total Mig - US & For",152059,239918,7491910
25,000,97,000,MA,"Total Mig - US",145227,231606,7378570
25,000,97,001,MA,"Total Mig - US Same St",88502,143095,4664245
25,000,97,003,MA,"Total Mig - US Diff St",56725,88511,2714324
25,000,98,000,MA,"Total Mig - Foreign",6832,8312,113340
25,001,96,000,MA,"Barnstable Coun Tot Mig-US & For",5396,8804,323068
25,001,97,000,MA,"Barnstable Coun Tot Mig-US",5122,8485,318670
25,001,97,001,MA,"Barnstable Coun Tot Mig-Same St",2692,4512,184472
25,001,97,003,MA,"Barnstable Coun Tot Mig-Diff St",2430,3973,134198
25,001,98,000,MA,"Barnstable Coun Tot Mig-Foreign",274,319,4398
25,001,25,001,MA,"Barnstable Coun Non-Migrants",91117,177551,5190705
25,001,25,017,MA,"Middlesex County",579,953,43752
25,001,25,023,MA,"Plymouth County",563,996,27516
25,001,25,021,MA,"Norfolk County",439,771,44974
25,001,25,005,MA,"Bristol County",280,487,13786
25,001,25,027,MA,"Worcester County",266,477,17706
25,001,25,025,MA,"Suffolk County",252,350,18878
25,001,25,009,MA,"Essex County",92,146,8854
25,001,09,003,CT,"Hartford County",90,145,5539
25,001,25,013,MA,"Hampden County",71,111,3456
25,001,09,001,CT,"Fairfield County",64,116,6265
25,001,12,099,FL,"Palm Beach County",54,85,3350
25,001,06,037,CA,"Los Angeles County",53,83,2324
25,001,36,061,NY,"New York County",49,73,3219
25,001,09,009,CT,"New Haven County",45,74,2440
25,001,44,007,RI,"Providence County",45,61,2663
25,001,33,011,NH,"Hillsborough County",43,67,2492
25,001,25,015,MA,"Hampshire County",41,61,1369
25,001,25,019,MA,"Nantucket County",40,57,1784
25,001,12,011,FL,"Broward County",38,58,1856
25,001,36,119,NY,"Westchester County",35,50,2801
25,001,25,007,MA,"Dukes County",34,57,1223
25,001,12,021,FL,"Collier County",33,54,2324
25,001,12,103,FL,"Pinellas County",33,47,1359
25,001,06,073,CA,"San Diego County",30,41,1274
25,001,12,071,FL,"Lee County",28,47,2107
25,001,12,115,FL,"Sarasota County",27,41,1474
25,001,57,005,FR,"Foreign - APO/FPO ZIPs",26,34,723
25,001,34,003,NJ,"Bergen County",23,45,-8490
25,001,36,047,NY,"Kings County",23,33,728
25,001,53,033,WA,"King County",23,40,1558
25,001,33,015,NH,"Rockingham County",22,39,1320
25,001,34,027,NJ,"Morris County",21,37,2139
25,001,33,013,NH,"Merrimack County",19,24,735
25,001,50,007,VT,"Chittenden County",19,30,1288
25,001,25,003,MA,"Berkshire County",18,21,456
25,001,17,031,IL,"Cook County",17,25,1059
25,001,06,075,CA,"San Francisco County",16,20,1003
25,001,24,031,MD,"Montgomery County",16,25,1659
25,001,36,081,NY,"Queens County",16,24,288
25,001,51,059,VA,"Fairfax County",16,29,1548
25,001,04,013,AZ,"Maricopa County",15,21,723
25,001,09,011,CT,"New London County",15,25,727
25,001,09,013,CT,"Tolland County",15,25,1949
25,001,12,009,FL,"Brevard County",15,23,390
25,001,36,103,NY,"Suffolk County",15,29,1175
25,001,12,095,FL,"Orange County",14,23,270
25,001,33,005,NH,"Cheshire County",14,29,578
25,001,33,009,NH,"Grafton County",14,20,613
25,001,34,029,NJ,"Ocean County",14,29,515
25,001,09,005,CT,"Litchfield County",13,17,1005
25,001,12,057,FL,"Hillsborough County",13,28,401
25,001,12,085,FL,"Martin County",13,20,876
25,001,23,031,ME,"York County",13,31,503
25,001,34,013,NJ,"Essex County",13,18,592
25,001,42,017,PA,"Bucks County",13,30,3174
25,001,44,009,RI,"Washington County",13,28,2306
25,001,06,085,CA,"Santa Clara County",12,16,363
25,001,11,001,DC,"District Of Columbia",12,16,1792
25,001,12,061,FL,"Indian River County",12,23,604
25,001,12,086,FL,"Miami Dade County",12,25,667
25,001,36,005,NY,"Bronx County",12,17,409
25,001,36,059,NY,"Nassau County",12,20,533
25,001,06,001,CA,"Alameda County",11,15,516
25,001,09,007,CT,"Middlesex County",11,18,671
25,001,12,015,FL,"Charlotte County",11,17,450
25,001,12,101,FL,"Pasco County",11,36,390
25,001,12,111,FL,"St Lucie County",11,18,280
25,001,36,001,NY,"Albany County",11,14,823
25,001,36,087,NY,"Rockland County",11,20,402
25,001,42,003,PA,"Allegheny County",11,20,486
25,001,44,003,RI,"Kent County",11,18,543
25,001,48,201,TX,"Harris County",11,13,441
25,001,23,011,ME,"Kennebec County",10,13,231
25,001,23,019,ME,"Penobscot County",10,13,212
25,001,32,003,NV,"Clark County",10,14,262
25,001,45,019,SC,"Charleston County",10,13,234
25,001,58,000,SS,"Other Flows - Same State",17,25,719
25,001,59,000,DS,"Other Flows - Diff State",1088,1805,61772
25,001,59,001,DS,"Other Flows - Northeast",352,563,17593
25,001,59,003,DS,"Other Flows - Midwest",159,259,10108
25,001,59,005,DS,"Other Flows - South",350,612,17885
25,001,59,007,DS,"Other Flows - West",227,371,16185
25,001,57,009,FR,"Foreign - Other flows",248,285,3675
25,003,96,000,MA,"Berkshire Count Tot Mig-US & For",1930,3226,81533
25,003,97,000,MA,"Berkshire Count Tot Mig-US",1845,3130,80465
25,003,97,001,MA,"Berkshire Count Tot Mig-Same St",508,878,20616
25,003,97,003,MA,"Berkshire Count Tot Mig-Diff St",1337,2252,59849
25,003,98,000,MA,"Berkshire Count Tot Mig-Foreign",85,96,1069
25,003,25,003,MA,"Berkshire Count Non-Migrants",50727,102269,2432648
25,003,25,013,MA,"Hampden County",135,241,4422
25,003,25,015,MA,"Hampshire County",89,142,2710
25,003,25,017,MA,"Middlesex County",80,135,4623
25,003,50,003,VT,"Bennington County",64,123,2203
25,003,09,005,CT,"Litchfield County",63,93,1703
25,003,36,061,NY,"New York County",44,65,4335
25,003,25,025,MA,"Suffolk County",41,66,1540
25,003,36,021,NY,"Columbia County",38,63,1164
25,003,36,083,NY,"Rensselaer County",37,57,1351
25,003,25,027,MA,"Worcester County",36,66,2230
25,003,25,011,MA,"Franklin County",30,58,927
25,003,36,047,NY,"Kings County",29,53,1321
25,003,09,001,CT,"Fairfield County",27,45,1762
25,003,09,009,CT,"New Haven County",27,43,932
25,003,25,009,MA,"Essex County",27,50,1132
25,003,09,003,CT,"Hartford County",24,39,1570
25,003,36,119,NY,"Westchester County",23,50,2394
25,003,36,081,NY,"Queens County",21,33,897
25,003,36,059,NY,"Nassau County",19,27,2427
25,003,25,005,MA,"Bristol County",18,31,688
25,003,36,001,NY,"Albany County",18,31,825
25,003,25,021,MA,"Norfolk County",17,24,812
25,003,25,023,MA,"Plymouth County",17,33,667
25,003,36,103,NY,"Suffolk County",15,26,665
25,003,06,037,CA,"Los Angeles County",14,24,551
25,003,36,027,NY,"Dutchess County",14,23,368
25,003,12,099,FL,"Palm Beach County",13,26,758
25,003,36,005,NY,"Bronx County",12,28,218
25,003,44,007,RI,"Providence County",12,18,469
25,003,06,075,CA,"San Francisco County",11,13,285
25,003,17,031,IL,"Cook County",10,17,506
25,003,58,000,SS,"Other Flows - Same State",18,32,863
25,003,59,000,DS,"Other Flows - Diff State",802,1355,33144
25,003,59,001,DS,"Other Flows - Northeast",275,444,12434
25,003,59,003,DS,"Other Flows - Midwest",89,154,5384
25,003,59,005,DS,"Other Flows - South",278,492,9947
25,003,59,007,DS,"Other Flows - West",160,265,5379
25,003,57,009,FR,"Foreign - Other flows",85,96,1069
25,005,96,000,MA,"Bristol County Tot Mig-US & For",9109,16087,410072
25,005,97,000,MA,"Bristol County Tot Mig-US",8967,15884,407842
25,005,97,001,MA,"Bristol County Tot Mig-Same St",5374,9486,249584
25,005,97,003,MA,"Bristol County Tot Mig-Diff St",3593,6398,158259
25,005,98,000,MA,"Bristol County Tot Mig-Foreign",142,203,2230
25,005,25,005,MA,"Bristol County Non-Migrants",197541,421124,10293764
25,005,25,023,MA,"Plymouth County",1958,3550,76025
25,005,25,021,MA,"Norfolk County",1624,2887,86781
25,005,44,007,RI,"Providence County",1000,1872,48680
25,005,25,025,MA,"Suffolk County",579,1051,30510
25,005,25,017,MA,"Middlesex County",536,884,28357
25,005,44,005,RI,"Newport County",307,506,12282
25,005,25,001,MA,"Barnstable County",219,369,8401
25,005,25,027,MA,"Worcester County",214,350,9218
25,005,44,001,RI,"Bristol County",136,275,9533
25,005,25,009,MA,"Essex County",122,210,6272
25,005,44,003,RI,"Kent County",118,198,6154
25,005,25,013,MA,"Hampden County",54,90,2114
25,005,44,009,RI,"Washington County",48,87,2642
25,005,12,011,FL,"Broward County",40,81,903
25,005,33,011,NH,"Hillsborough County",40,66,2467
25,005,06,037,CA,"Los Angeles County",38,54,1474
25,005,57,005,FR,"Foreign - APO/FPO ZIPs",37,63,1104
25,005,09,003,CT,"Hartford County",34,59,1155
25,005,12,103,FL,"Pinellas County",29,44,894
25,005,09,001,CT,"Fairfield County",28,52,1285
25,005,09,009,CT,"New Haven County",28,57,1472
25,005,06,073,CA,"San Diego County",27,37,636
25,005,36,047,NY,"Kings County",26,59,1140
25,005,36,061,NY,"New York County",24,30,838
25,005,36,081,NY,"Queens County",24,49,830
25,005,25,015,MA,"Hampshire County",23,35,661
25,005,33,015,NH,"Rockingham County",22,41,954
25,005,09,011,CT,"New London County",21,35,982
25,005,12,099,FL,"Palm Beach County",21,31,289
25,005,12,071,FL,"Lee County",20,30,758
25,005,17,031,IL,"Cook County",20,32,1960
25,005,23,005,ME,"Cumberland County",20,36,904
25,005,25,011,MA,"Franklin County",20,29,283
25,005,12,095,FL,"Orange County",19,27,369
25,005,36,059,NY,"Nassau County",19,34,630
25,005,12,117,FL,"Seminole County",17,26,246
25,005,37,133,NC,"Onslow County",17,35,366
25,005,04,013,AZ,"Maricopa County",16,30,575
25,005,12,127,FL,"Volusia County",16,29,472
25,005,12,057,FL,"Hillsborough County",15,25,735
25,005,12,086,FL,"Miami Dade County",15,24,294
25,005,24,031,MD,"Montgomery County",15,27,1087
25,005,36,103,NY,"Suffolk County",15,27,543
25,005,12,031,FL,"Duval County",14,28,621
25,005,33,013,NH,"Merrimack County",14,16,1060
25,005,36,119,NY,"Westchester County",14,24,696
25,005,23,031,ME,"York County",13,29,544
25,005,34,017,NJ,"Hudson County",13,29,465
25,005,36,001,NY,"Albany County",13,19,329
25,005,36,005,NY,"Bronx County",13,30,237
25,005,36,055,NY,"Monroe County",13,19,534
25,005,12,009,FL,"Brevard County",12,25,308
25,005,12,115,FL,"Sarasota County",12,19,262
25,005,15,003,HI,"Honolulu County",12,19,430
25,005,33,009,NH,"Grafton County",12,22,251
25,005,06,059,CA,"Orange County",11,16,209
25,005,12,101,FL,"Pasco County",11,25,253
25,005,25,007,MA,"Dukes County",11,15,392
25,005,34,013,NJ,"Essex County",11,20,610
25,005,42,101,PA,"Philadelphia County",11,16,315
25,005,51,810,VA,"Virginia Beach",11,19,494
25,005,53,033,WA,"King County",11,20,496
25,005,23,001,ME,"Androscoggin County",10,18,236
25,005,23,025,ME,"Somerset County",10,19,174
25,005,32,003,NV,"Clark County",10,18,314
25,005,34,023,NJ,"Middlesex County",10,16,512
25,005,36,067,NY,"Onondaga County",10,13,239
25,005,37,119,NC,"Mecklenburg County",10,23,694
25,005,48,113,TX,"Dallas County",10,16,402
25,005,48,201,TX,"Harris County",10,18,532
25,005,58,000,SS,"Other Flows - Same State",14,16,569
25,005,59,000,DS,"Other Flows - Diff State",1057,1847,43492
25,005,59,001,DS,"Other Flows - Northeast",306,539,13263
25,005,59,003,DS,"Other Flows - Midwest",165,284,9671
25,005,59,005,DS,"Other Flows - South",414,725,14306
25,005,59,007,DS,"Other Flows - West",172,299,6252
25,005,57,009,FR,"Foreign - Other flows",105,140,1126
25,007,96,000,MA,"Dukes County Tot Mig-US & For",429,644,25337
25,007,97,000,MA,"Dukes County Tot Mig-US",411,626,25105
25,007,97,001,MA,"Dukes County Tot Mig-Same St",159,239,9690
25,007,97,003,MA,"Dukes County Tot Mig-Diff St",252,387,15415
25,007,98,000,MA,"Dukes County Tot Mig-Foreign",18,18,232
25,007,25,007,MA,"Dukes County Non-Migrants",6416,12128,361388
25,007,25,017,MA,"Middlesex County",35,49,2449
25,007,25,025,MA,"Suffolk County",21,28,3105
25,007,25,001,MA,"Barnstable County",20,29,548
25,007,25,005,MA,"Bristol County",20,34,714
25,007,25,023,MA,"Plymouth County",14,22,407
25,007,25,027,MA,"Worcester County",14,24,511
25,007,09,003,CT,"Hartford County",11,22,1052
25,007,25,021,MA,"Norfolk County",11,19,998
25,007,25,009,MA,"Essex County",10,12,402
25,007,36,119,NY,"Westchester County",10,14,819
25,007,58,000,SS,"Other Flows - Same State",14,22,555
25,007,59,000,DS,"Other Flows - Diff State",231,351,13544
25,007,59,001,DS,"Other Flows - Northeast",116,175,7504
25,007,59,003,DS,"Other Flows - Midwest",13,16,1273
25,007,59,005,DS,"Other Flows - South",62,101,2237
25,007,59,007,DS,"Other Flows - West",40,59,2530
25,007,57,009,FR,"Foreign - Other flows",18,18,232
25,009,96,000,MA,"Essex County Tot Mig-US & For",13699,23676,718928
25,009,97,000,MA,"Essex County Tot Mig-US",13472,23288,710448
25,009,97,001,MA,"Essex County Tot Mig-Same St",8187,14191,463022
25,009,97,003,MA,"Essex County Tot Mig-Diff St",5285,9097,247425
25,009,98,000,MA,"Essex County Tot Mig-Foreign",227,388,8480
25,009,25,009,MA,"Essex County Non-Migrants",265015,566187,16999858
25,009,25,017,MA,"Middlesex County",4562,7785,271820
25,009,25,025,MA,"Suffolk County",2340,4300,128507
25,009,33,015,NH,"Rockingham County",924,1528,38301
25,009,25,021,MA,"Norfolk County",401,662,25656
25,009,25,027,MA,"Worcester County",307,549,13333
25,009,33,011,NH,"Hillsborough County",299,506,14154
25,009,25,023,MA,"Plymouth County",163,258,8351
25,009,36,061,NY,"New York County",163,293,5282
25,009,25,005,MA,"Bristol County",119,206,5242
25,009,36,005,NY,"Bronx County",116,263,1634
25,009,25,001,MA,"Barnstable County",108,168,4613
25,009,06,037,CA,"Los Angeles County",86,136,3512
25,009,44,007,RI,"Providence County",77,130,2788
25,009,33,017,NH,"Strafford County",76,131,3323
25,009,23,005,ME,"Cumberland County",75,106,3892
25,009,36,047,NY,"Kings County",74,133,1837
25,009,23,031,ME,"York County",72,123,3175
25,009,12,011,FL,"Broward County",66,103,2930
25,009,25,015,MA,"Hampshire County",66,81,1709
25,009,06,073,CA,"San Diego County",64,95,2173
25,009,17,031,IL,"Cook County",61,104,3993
25,009,25,013,MA,"Hampden County",61,99,1935
25,009,12,099,FL,"Palm Beach County",60,106,3517
25,009,09,003,CT,"Hartford County",54,92,3341
25,009,09,001,CT,"Fairfield County",50,88,4469
25,009,33,013,NH,"Merrimack County",44,77,2133
25,009,09,009,CT,"New Haven County",43,70,1765
25,009,33,003,NH,"Carroll County",41,65,1692
25,009,12,086,FL,"Miami Dade County",40,76,838
25,009,36,081,NY,"Queens County",40,72,841
25,009,12,103,FL,"Pinellas County",38,61,1116
