"2003-2004 County to County Migration Inflow",,,,,,,,"New Mexico Inflows"
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
"New Mexico",,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
35,000,96,000,NM,"Total Mig - US & For",51186,102477,1717970
35,000,97,000,NM,"Total Mig - US",49713,99656,1678869
35,000,97,001,NM,"Total Mig - US Same St",20159,40646,578296
35,000,97,003,NM,"Total Mig - US Diff St",29554,59010,1100573
35,000,98,000,NM,"Total Mig - Foreign",1473,2821,39101
35,001,96,000,NM,"Bernalillo Coun Tot Mig-US & For",15587,29021,561851
35,001,97,000,NM,"Bernalillo Coun Tot Mig-US",15129,28212,549928
35,001,97,001,NM,"Bernalillo Coun Tot Mig-Same St",5928,10940,175241
35,001,97,003,NM,"Bernalillo Coun Tot Mig-Diff St",9201,17272,374686
35,001,98,000,NM,"Bernalillo Coun Tot Mig-Foreign",458,809,11923
35,001,35,001,NM,"Bernalillo Coun Non-Migrants",202795,419283,9584515
35,001,35,043,NM,"Sandoval County",1624,3080,55335
35,001,35,061,NM,"Valencia County",874,1689,24839
35,001,35,049,NM,"Santa Fe County",805,1392,27781
35,001,04,013,AZ,"Maricopa County",441,823,16619
35,001,35,031,NM,"Mckinley County",361,726,8154
35,001,35,013,NM,"Dona Ana County",316,565,7606
35,001,48,141,TX,"El Paso County",291,619,8475
35,001,35,045,NM,"San Juan County",258,435,5251
35,001,06,037,CA,"Los Angeles County",256,502,10937
35,001,57,005,FR,"Foreign - APO/FPO ZIPs",229,523,8398
35,001,06,073,CA,"San Diego County",208,417,7689
35,001,32,003,NV,"Clark County",204,394,8710
35,001,35,006,NM,"Cibola County",180,373,4073
35,001,35,039,NM,"Rio Arriba County",179,294,4660
35,001,35,057,NM,"Torrance County",158,327,4046
35,001,35,005,NM,"Chaves County",144,253,4208
35,001,35,047,NM,"San Miguel County",138,238,3002
35,001,04,019,AZ,"Pima County",131,236,4691
35,001,08,041,CO,"El Paso County",130,285,5467
35,001,48,029,TX,"Bexar County",128,242,5665
35,001,35,055,NM,"Taos County",118,178,2723
35,001,17,031,IL,"Cook County",117,169,4972
35,001,06,059,CA,"Orange County",114,228,3996
35,001,08,031,CO,"Denver County",102,160,3090
35,001,35,035,NM,"Otero County",100,174,3072
35,001,48,201,TX,"Harris County",98,169,4800
35,001,53,033,WA,"King County",98,160,4471
35,001,48,439,TX,"Tarrant County",96,168,3906
35,001,35,053,NM,"Socorro County",95,174,2943
35,001,48,113,TX,"Dallas County",95,163,3792
35,001,35,028,NM,"Los Alamos County",91,159,5304
35,001,48,453,TX,"Travis County",82,134,3453
35,001,08,059,CO,"Jefferson County",80,170,3728
35,001,06,085,CA,"Santa Clara County",75,132,6127
35,001,41,051,OR,"Multnomah County",69,103,1936
35,001,06,071,CA,"San Bernardino Count",68,140,1729
35,001,08,005,CO,"Arapahoe County",68,119,2973
35,001,35,015,NM,"Eddy County",67,124,1876
35,001,49,035,UT,"Salt Lake County",62,124,2664
35,001,25,017,MA,"Middlesex County",59,98,2766
35,001,35,009,NM,"Curry County",59,119,1326
35,001,06,001,CA,"Alameda County",57,103,3291
35,001,06,067,CA,"Sacramento County",55,107,2258
35,001,08,001,CO,"Adams County",55,115,2356
35,001,06,065,CA,"Riverside County",54,96,1774
35,001,04,001,AZ,"Apache County",53,93,1177
35,001,06,075,CA,"San Francisco County",53,73,2598
35,001,51,059,VA,"Fairfax County",53,130,5247
35,001,48,303,TX,"Lubbock County",52,95,1812
35,001,35,017,NM,"Grant County",51,102,1221
35,001,35,007,NM,"Colfax County",49,77,1688
35,001,15,003,HI,"Honolulu County",48,90,1954
35,001,08,013,CO,"Boulder County",47,66,1559
35,001,02,020,AK,"Anchorage Borough",44,80,1635
35,001,35,027,NM,"Lincoln County",43,76,1040
35,001,41,067,OR,"Washington County",43,94,2471
35,001,12,091,FL,"Okaloosa County",40,115,2071
35,001,06,111,CA,"Ventura County",38,71,1500
35,001,48,085,TX,"Collin County",37,59,2373
35,001,40,109,OK,"Oklahoma County",36,79,1167
35,001,48,121,TX,"Denton County",36,71,1287
35,001,25,027,MA,"Worcester County",35,72,2348
35,001,04,017,AZ,"Navajo County",34,73,789
35,001,35,037,NM,"Quay County",34,64,563
35,001,06,013,CA,"Contra Costa County",33,62,2338
35,001,08,035,CO,"Douglas County",33,62,1913
35,001,35,041,NM,"Roosevelt County",33,60,652
35,001,36,061,NY,"New York County",33,50,1753
35,001,04,005,AZ,"Coconino County",32,56,886
35,001,08,101,CO,"Pueblo County",32,52,811
35,001,27,053,MN,"Hennepin County",32,44,1071
35,001,35,025,NM,"Lea County",32,58,768
35,001,08,069,CO,"Larimer County",30,60,1167
35,001,48,375,TX,"Potter County",30,60,1202
