"2003-2004 County to County Migration Outflow",,,,,,,,"Alabama Outflows"
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Alabama,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
01,000,96,000,AL,"Total Mig - US & For",90509,184950,3203637
01,000,97,000,AL,"Total Mig - US",89249,182406,3158982
01,000,97,001,AL,"Total Mig - US Same St",51391,105026,1735782
01,000,97,003,AL,"Total Mig - US Diff St",37858,77380,1423201
01,000,98,000,AL,"Total Mig - Foreign",1260,2544,44655
01,001,96,000,AL,"Autauga County Tot Mig-US & For",1574,3799,63133
01,001,97,000,AL,"Autauga County Tot Mig-US",1521,3626,59543
01,001,97,001,AL,"Autauga County Tot Mig-Same St",939,1971,30315
01,001,97,003,AL,"Autauga County Tot Mig-Diff St",582,1655,29229
01,001,98,000,AL,"Autauga County Tot Mig-Foreign",53,173,3590
01,001,01,001,AL,"Autauga County Non-Migrants",15737,37607,699588
01,001,01,101,AL,"Montgomery County",353,710,9922
01,001,01,051,AL,"Elmore County",278,602,9393
01,001,01,021,AL,"Chilton County",57,124,1579
01,001,01,073,AL,"Jefferson County",47,81,1839
01,001,01,047,AL,"Dallas County",42,105,1177
01,001,51,059,VA,"Fairfax County",24,96,1907
01,001,01,081,AL,"Lee County",18,32,546
01,001,01,117,AL,"Shelby County",18,32,1061
01,001,01,097,AL,"Mobile County",15,36,906
01,001,08,041,CO,"El Paso County",12,38,734
01,001,51,153,VA,"Prince William Count",12,50,994
01,001,01,125,AL,"Tuscaloosa County",11,14,242
01,001,32,003,NV,"Clark County",10,27,629
01,001,48,029,TX,"Bexar County",10,35,690
01,001,58,000,SS,"Other Flows - Same State",100,235,3650
01,001,59,000,DS,"Other Flows - Diff State",514,1409,24274
01,001,59,001,DS,"Other Flows - Northeast",21,56,735
01,001,59,003,DS,"Other Flows - Midwest",71,192,3575
01,001,59,005,DS,"Other Flows - South",351,966,16787
01,001,59,007,DS,"Other Flows - West",71,195,3177
01,001,57,009,FR,"Foreign - Other flows",53,173,3590
