"2003-2004 County to County Migration Outflow",,,,,,,,"Florida Outflows"
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Florida,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
12,000,96,000,FL,"Total Mig - US & For",437868,808951,16903130
12,000,97,000,FL,"Total Mig - US",429233,793707,16642670
12,000,97,001,FL,"Total Mig - US Same St",254728,472293,9744638
12,000,97,003,FL,"Total Mig - US Diff St",174505,321414,6898032
12,000,98,000,FL,"Total Mig - Foreign",8635,15244,260460
12,001,96,000,FL,"Alachua County Tot Mig-US & For",7855,12768,247591
12,001,97,000,FL,"Alachua County Tot Mig-US",7745,12606,245135
12,001,97,001,FL,"Alachua County Tot Mig-Same St",4907,7960,154455
12,001,97,003,FL,"Alachua County Tot Mig-Diff St",2838,4646,90681
12,001,98,000,FL,"Alachua County Tot Mig-Foreign",110,162,2456
12,001,12,001,FL,"Alachua County Non-Migrants",70270,141405,3335770
12,001,12,031,FL,"Duval County",415,603,13504
12,001,12,095,FL,"Orange County",355,492,10367
12,001,12,083,FL,"Marion County",354,631,12053
12,001,12,057,FL,"Hillsborough County",317,485,11234
12,001,12,011,FL,"Broward County",225,307,6936
12,001,12,086,FL,"Miami Dade County",220,311,4708
12,001,12,099,FL,"Palm Beach County",214,318,6919
12,001,12,075,FL,"Levy County",211,424,5813
12,001,12,103,FL,"Pinellas County",189,278,5059
12,001,12,023,FL,"Columbia County",184,373,5943
12,001,12,019,FL,"Clay County",167,319,5420
12,001,12,009,FL,"Brevard County",148,202,3616
12,001,12,073,FL,"Leon County",142,204,3904
12,001,12,117,FL,"Seminole County",137,192,3661
12,001,12,107,FL,"Putnam County",134,262,3945
12,001,12,041,FL,"Gilchrist County",124,256,3233
12,001,12,109,FL,"St Johns County",113,190,4433
12,001,12,127,FL,"Volusia County",113,171,4095
12,001,12,007,FL,"Bradford County",92,203,3107
12,001,12,071,FL,"Lee County",80,111,2132
12,001,12,105,FL,"Polk County",78,121,2255
12,001,12,069,FL,"Lake County",74,114,1903
12,001,13,089,GA,"De Kalb County",72,104,2717
12,001,13,121,GA,"Fulton County",66,99,1656
12,001,12,101,FL,"Pasco County",58,96,2092
12,001,12,081,FL,"Manatee County",57,96,2925
12,001,12,125,FL,"Union County",56,112,1438
12,001,12,115,FL,"Sarasota County",53,85,1457
12,001,12,017,FL,"Citrus County",51,92,1618
12,001,06,037,CA,"Los Angeles County",49,60,1722
12,001,17,031,IL,"Cook County",47,64,1385
12,001,12,033,FL,"Escambia County",43,56,1084
12,001,12,111,FL,"St Lucie County",42,74,1288
12,001,12,021,FL,"Collier County",39,61,1109
12,001,13,067,GA,"Cobb County",39,68,1237
12,001,06,073,CA,"San Diego County",37,55,2431
12,001,48,201,TX,"Harris County",35,49,1258
12,001,12,097,FL,"Osceola County",33,58,502
12,001,12,121,FL,"Suwannee County",33,53,595
12,001,12,005,FL,"Bay County",32,51,4210
12,001,12,091,FL,"Okaloosa County",32,61,1006
12,001,04,013,AZ,"Maricopa County",31,49,1108
12,001,53,033,WA,"King County",31,42,1066
12,001,12,035,FL,"Flagler County",30,54,1232
12,001,36,061,NY,"New York County",30,35,526
12,001,12,113,FL,"Santa Rosa County",29,51,992
12,001,24,031,MD,"Montgomery County",29,41,1191
12,001,37,119,NC,"Mecklenburg County",28,52,1389
12,001,51,059,VA,"Fairfax County",28,36,1031
12,001,12,061,FL,"Indian River County",25,45,836
12,001,13,135,GA,"Gwinnett County",25,51,774
12,001,57,005,FR,"Foreign - APO/FPO ZIPs",24,43,467
12,001,12,015,FL,"Charlotte County",23,37,762
12,001,12,029,FL,"Dixie County",23,48,458
12,001,25,017,MA,"Middlesex County",23,29,680
12,001,37,183,NC,"Wake County",23,32,923
12,001,11,001,DC,"District Of Columbia",20,20,685
12,001,12,089,FL,"Nassau County",19,37,772
12,001,37,021,NC,"Buncombe County",19,32,615
12,001,48,453,TX,"Travis County",19,26,598
12,001,36,047,NY,"Kings County",18,18,283
12,001,39,049,OH,"Franklin County",18,30,525
12,001,42,101,PA,"Philadelphia County",18,31,504
12,001,01,073,AL,"Jefferson County",17,27,791
12,001,13,051,GA,"Chatham County",17,31,663
12,001,36,103,NY,"Suffolk County",17,27,345
12,001,45,019,SC,"Charleston County",17,22,634
12,001,12,085,FL,"Martin County",16,19,724
12,001,36,059,NY,"Nassau County",16,17,341
12,001,41,051,OR,"Multnomah County",16,21,317
12,001,47,037,TN,"Davidson County",16,24,445
12,001,06,059,CA,"Orange County",15,31,268
12,001,06,075,CA,"San Francisco County",15,18,633
12,001,06,085,CA,"Santa Clara County",15,22,516
12,001,32,003,NV,"Clark County",15,26,879
12,001,39,035,OH,"Cuyahoga County",15,22,322
12,001,39,061,OH,"Hamilton County",15,17,451
12,001,48,029,TX,"Bexar County",15,29,650
12,001,04,019,AZ,"Pima County",14,18,466
12,001,08,031,CO,"Denver County",14,17,446
12,001,12,055,FL,"Highlands County",14,18,461
12,001,21,067,KY,"Fayette County",14,30,648
12,001,37,063,NC,"Durham County",14,16,396
12,001,12,087,FL,"Monroe County",13,20,302
12,001,12,123,FL,"Taylor County",13,23,1497
12,001,25,025,MA,"Suffolk County",13,14,289
12,001,35,001,NM,"Bernalillo County",13,21,462
12,001,42,003,PA,"Allegheny County",13,14,554
12,001,47,093,TN,"Knox County",13,29,346
12,001,47,157,TN,"Shelby County",13,23,629
12,001,48,085,TX,"Collin County",13,19,246
12,001,51,013,VA,"Arlington County",13,15,348
12,001,57,003,FR,"Foreign - Puerto Rico",13,18,271
12,001,18,097,IN,"Marion County",12,15,323
12,001,24,510,MD,Baltimore,12,16,502
12,001,27,053,MN,"Hennepin County",12,19,419
12,001,36,081,NY,"Queens County",12,12,195
12,001,37,067,NC,"Forsyth County",12,25,508
12,001,47,065,TN,"Hamilton County",12,29,674
12,001,48,113,TX,"Dallas County",12,16,640
12,001,08,005,CO,"Arapahoe County",11,14,284
12,001,15,003,HI,"Honolulu County",11,17,337
12,001,17,043,IL,"Du Page County",11,19,387
12,001,42,029,PA,"Chester County",11,15,688
12,001,51,087,VA,"Henrico County",11,18,239
12,001,08,041,CO,"El Paso County",10,25,337
12,001,09,009,CT,"New Haven County",10,17,403
12,001,12,053,FL,"Hernando County",10,16,447
12,001,13,185,GA,"Lowndes County",10,15,229
12,001,24,003,MD,"Anne Arundel County",10,17,252
12,001,24,005,MD,"Baltimore County",10,13,263
12,001,24,033,MD,"Prince George's Coun",10,16,154
12,001,37,051,NC,"Cumberland County",10,23,242
12,001,37,133,NC,"Onslow County",10,18,232
12,001,37,135,NC,"Orange County",10,14,272
12,001,55,025,WI,"Dane County",10,18,254
12,001,58,000,SS,"Other Flows - Same State",77,130,2408
12,001,59,000,DS,"Other Flows - Diff State",1526,2682,46455
12,001,59,001,DS,"Other Flows - Northeast",303,470,8310
12,001,59,003,DS,"Other Flows - Midwest",294,527,10695
12,001,59,005,DS,"Other Flows - South",709,1298,27596
12,001,59,007,DS,"Other Flows - West",220,387,-146
12,001,57,009,FR,"Foreign - Other flows",73,101,1717
12,003,96,000,FL,"Baker County Tot Mig-US & For",513,1036,15476
12,003,97,000,FL,"Baker County Tot Mig-US",513,1036,15476
