"2003-2004 County to County Migration Outflow",,,,,,,,"New Mexico Outflows"
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
"New Mexico",,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
35,000,96,000,NM,"Total Mig - US & For",47942,96612,1579340
35,000,97,000,NM,"Total Mig - US",46924,94654,1549303
35,000,97,001,NM,"Total Mig - US Same St",20159,40646,578296
35,000,97,003,NM,"Total Mig - US Diff St",26765,54008,971007
35,000,98,000,NM,"Total Mig - Foreign",1018,1958,30038
35,001,96,000,NM,"Bernalillo Coun Tot Mig-US & For",13147,25100,518906
35,001,97,000,NM,"Bernalillo Coun Tot Mig-US",12832,24512,509000
35,001,97,001,NM,"Bernalillo Coun Tot Mig-Same St",4697,9217,150255
35,001,97,003,NM,"Bernalillo Coun Tot Mig-Diff St",8135,15295,358746
35,001,98,000,NM,"Bernalillo Coun Tot Mig-Foreign",315,588,9905
35,001,35,001,NM,"Bernalillo Coun Non-Migrants",202795,419283,9584515
35,001,35,043,NM,"Sandoval County",1797,3682,70642
35,001,35,061,NM,"Valencia County",645,1328,18245
35,001,04,013,AZ,"Maricopa County",576,1119,28346
35,001,35,049,NM,"Santa Fe County",504,925,18279
35,001,32,003,NV,"Clark County",248,444,10726
35,001,57,005,FR,"Foreign - APO/FPO ZIPs",223,438,7229
35,001,06,037,CA,"Los Angeles County",222,345,7385
35,001,35,031,NM,"Mckinley County",215,403,3879
35,001,35,045,NM,"San Juan County",211,402,5044
35,001,35,013,NM,"Dona Ana County",209,366,5626
35,001,06,073,CA,"San Diego County",182,292,6719
35,001,08,041,CO,"El Paso County",142,284,5645
35,001,48,141,TX,"El Paso County",135,295,3986
35,001,35,057,NM,"Torrance County",134,291,3171
35,001,35,006,NM,"Cibola County",130,277,3044
35,001,04,019,AZ,"Pima County",129,231,5580
35,001,48,029,TX,"Bexar County",124,237,6598
35,001,53,033,WA,"King County",123,199,5997
35,001,08,031,CO,"Denver County",115,181,3513
35,001,48,201,TX,"Harris County",105,191,4580
35,001,06,059,CA,"Orange County",99,159,4024
35,001,08,005,CO,"Arapahoe County",95,156,3897
35,001,35,039,NM,"Rio Arriba County",94,187,2535
35,001,48,113,TX,"Dallas County",91,148,4133
35,001,17,031,IL,"Cook County",86,106,2221
35,001,35,005,NM,"Chaves County",86,160,3321
35,001,48,439,TX,"Tarrant County",83,151,4045
35,001,48,453,TX,"Travis County",83,140,4442
35,001,57,001,FR,"Foreign - Overseas",82,134,2388
35,001,35,047,NM,"San Miguel County",81,160,1982
35,001,35,055,NM,"Taos County",75,120,1771
35,001,08,059,CO,"Jefferson County",72,127,3017
35,001,35,053,NM,"Socorro County",67,132,1191
35,001,51,059,VA,"Fairfax County",64,156,5454
35,001,41,051,OR,"Multnomah County",59,89,2395
35,001,49,035,UT,"Salt Lake County",59,123,2092
35,001,35,035,NM,"Otero County",57,87,1550
35,001,48,085,TX,"Collin County",55,114,3312
35,001,06,067,CA,"Sacramento County",53,103,2659
35,001,48,121,TX,"Denton County",50,98,3025
35,001,35,009,NM,"Curry County",49,94,1451
35,001,35,015,NM,"Eddy County",49,94,1114
35,001,06,085,CA,"Santa Clara County",48,86,3488
35,001,08,001,CO,"Adams County",46,83,1379
35,001,48,303,TX,"Lubbock County",45,93,1561
35,001,06,065,CA,"Riverside County",44,77,1648
35,001,06,071,CA,"San Bernardino Count",43,91,1193
35,001,08,035,CO,"Douglas County",43,88,3026
35,001,08,069,CO,"Larimer County",42,68,1580
35,001,15,003,HI,"Honolulu County",42,100,1581
35,001,06,001,CA,"Alameda County",40,59,1239
35,001,08,013,CO,"Boulder County",40,68,1995
35,001,12,091,FL,"Okaloosa County",40,89,1842
35,001,35,028,NM,"Los Alamos County",40,68,1434
35,001,41,067,OR,"Washington County",39,83,1851
35,001,06,075,CA,"San Francisco County",36,40,1663
35,001,12,057,FL,"Hillsborough County",36,71,1521
35,001,35,051,NM,"Sierra County",34,53,1119
35,001,11,001,DC,"District Of Columbia",33,41,1130
35,001,35,025,NM,"Lea County",33,60,665
35,001,02,020,AK,"Anchorage Borough",32,68,1484
35,001,12,011,FL,"Broward County",32,61,1454
35,001,35,017,NM,"Grant County",32,53,752
35,001,20,091,KS,"Johnson County",31,63,2079
35,001,35,027,NM,"Lincoln County",31,54,712
35,001,12,009,FL,"Brevard County",30,53,1362
35,001,55,025,WI,"Dane County",30,51,1182
35,001,08,067,CO,"La Plata County",29,44,2235
35,001,12,086,FL,"Miami Dade County",28,45,835
35,001,12,099,FL,"Palm Beach County",28,48,1142
35,001,16,001,ID,"Ada County",28,63,1757
35,001,27,053,MN,"Hennepin County",28,53,1444
35,001,35,041,NM,"Roosevelt County",27,45,502
35,001,04,001,AZ,"Apache County",26,51,362
