"2005-2006 County to County Migration Outflow",,,,,,"Alaska Outflows",,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Alaska,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
02,000,96,000,AK,"Total Mig - US & For",22799,45108,924988
02,000,97,000,AK,"Total Mig - US",22190,43936,904058
02,000,97,001,AK,"Total Mig - US Same St",7200,13777,299347
02,000,97,003,AK,"Total Mig - US Diff St",14990,30159,604711
02,000,98,000,AK,"Total Mig - Foreign",609,1172,20931
02,013,96,000,AK,"Aleutians East Tot Mig-US &",123,223,4611
02,013,97,000,AK,"Aleutians East Tot Mig-US",123,223,4611
02,013,97,001,AK,"Aleutians East Tot Mig-Same",29,65,1307
02,013,97,003,AK,"Aleutians East Tot Mig-Diff",94,158,3304
02,013,98,000,AK,"Aleutians East Tot Mig-Fore",d,d,d
02,013,02,013,AK,"Aleutians East Non-Migrants",546,1058,23568
02,013,02,020,AK,"Anchorage Borough",14,30,421
02,013,53,033,WA,"King County",14,29,395
02,013,06,073,CA,"San Diego County",12,19,348
02,013,58,000,SS,"Other Flows - Same State",15,35,886
02,013,59,000,DS,"Other Flows - Diff State",68,110,2562
02,016,96,000,AK,"Aleutians West Tot Mig-US &",308,588,12029
02,016,97,000,AK,"Aleutians West Tot Mig-US",308,588,12029
02,016,97,001,AK,"Aleutians West Tot Mig-Same",89,165,3904
02,016,97,003,AK,"Aleutians West Tot Mig-Diff",219,423,8124
02,016,98,000,AK,"Aleutians West Tot Mig-Fore",d,d,d
02,016,02,016,AK,"Aleutians West Non-Migrants",1384,2751,69972
02,016,02,020,AK,"Anchorage Borough",47,80,1883
02,016,53,033,WA,"King County",23,38,905
02,016,06,077,CA,"San Joaquin County",22,38,537
02,016,02,170,AK,"Matanuska Susitna Bo",10,28,507
02,016,06,037,CA,"Los Angeles County",10,18,434
02,016,58,000,SS,"Other Flows - Same State",32,57,1514
02,016,59,000,DS,"Other Flows - Diff State",164,329,6249
02,020,96,000,AK,"Anchorage Borou Tot Mig-US",9400,18910,415533
02,020,97,000,AK,"Anchorage Borou Tot Mig-US",9109,18326,404070
02,020,97,001,AK,"Anchorage Borou Tot Mig-Sam",2385,4761,110960
02,020,97,003,AK,"Anchorage Borou Tot Mig-Dif",6724,13565,293110
02,020,98,000,AK,"Anchorage Borou Tot Mig-For",291,584,11463
02,020,02,020,AK,"Anchorage Borou Non-Migrant",94600,198549,6067417
02,020,02,170,AK,"Matanuska Susitna Bo",1229,2750,64605
02,020,02,122,AK,"Kenai Peninsula Boro",339,603,15848
02,020,02,090,AK,"Fairbanks North Star",258,435,11019
02,020,53,033,WA,"King County",251,392,10771
02,020,57,005,FR,"Foreign - APO/FPO ZIPs",207,431,7474
02,020,32,003,NV,"Clark County",174,340,7259
02,020,04,013,AZ,"Maricopa County",166,298,8619
02,020,53,053,WA,"Pierce County",120,264,5006
02,020,06,037,CA,"Los Angeles County",94,145,2623
02,020,15,003,HI,"Honolulu County",91,209,3593
02,020,02,050,AK,"Bethel Census Area",78,137,2107
02,020,06,073,CA,"San Diego County",78,115,2250
02,020,04,019,AZ,"Pima County",76,139,3399
02,020,48,029,TX,"Bexar County",75,189,3186
02,020,41,051,OR,"Multnomah County",73,113,2215
02,020,48,201,TX,"Harris County",65,143,7101
02,020,53,063,WA,"Spokane County",62,122,3213
02,020,02,261,AK,"Valdez Cordova Censu",60,97,2785
02,020,02,110,AK,"Juneau Borough",59,95,2258
02,020,08,041,CO,"El Paso County",59,143,2626
02,020,12,091,FL,"Okaloosa County",55,140,1974
02,020,16,039,ID,"Elmore County",55,136,2051
02,020,53,061,WA,"Snohomish County",53,109,2732
02,020,16,001,ID,"Ada County",50,102,2140
02,020,02,150,AK,"Kodiak Island Boroug",48,76,1286
02,020,37,051,NC,"Cumberland County",47,106,1392
02,020,53,067,WA,"Thurston County",45,77,2005
02,020,12,005,FL,"Bay County",44,94,1795
02,020,32,031,NV,"Washoe County",43,75,2879
02,020,02,188,AK,"Northwest Arctic Bor",41,75,1250
02,020,35,001,NM,"Bernalillo County",41,86,1438
02,020,40,109,OK,"Oklahoma County",41,118,2167
02,020,41,067,OR,"Washington County",41,62,1823
02,020,06,067,CA,"Sacramento County",37,65,857
02,020,41,039,OR,"Lane County",37,77,1520
02,020,49,049,UT,"Utah County",35,66,920
02,020,15,001,HI,"Hawaii County",34,55,2160
02,020,49,035,UT,"Salt Lake County",33,70,1232
02,020,12,057,FL,"Hillsborough County",31,79,1301
02,020,51,059,VA,"Fairfax County",31,77,1698
02,020,02,180,AK,"Nome Census Area",30,55,870
02,020,49,011,UT,"Davis County",30,86,1387
02,020,05,119,AR,"Pulaski County",29,61,1031
02,020,17,031,IL,"Cook County",29,43,982
02,020,45,085,SC,"Sumter County",29,84,1334
