"2005-2006 County to County Migration Outflow",,,,,,"Georgia Outflows",,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Georgia,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
13,000,96,000,GA,"Total Mig - US & For",286408,578088,12412340
13,000,97,000,GA,"Total Mig - US",283423,572082,12293197
13,000,97,001,GA,"Total Mig - US Same St",188592,381518,7510553
13,000,97,003,GA,"Total Mig - US Diff St",94831,190564,4782644
13,000,98,000,GA,"Total Mig - Foreign",2985,6006,119143
13,001,96,000,GA,"Appling County Tot Mig-US &",338,748,9559
13,001,97,000,GA,"Appling County Tot Mig-US",338,748,9559
13,001,97,001,GA,"Appling County Tot Mig-Same",264,586,7585
13,001,97,003,GA,"Appling County Tot Mig-Diff",74,162,1974
13,001,98,000,GA,"Appling County Tot Mig-Fore",d,d,d
13,001,13,001,GA,"Appling County Non-Migrants",5263,12424,197205
13,001,13,161,GA,"Jeff Davis County",46,108,908
13,001,13,279,GA,"Toombs County",21,34,513
13,001,13,305,GA,"Wayne County",18,40,505
13,001,13,069,GA,"Coffee County",17,38,844
13,001,13,005,GA,"Bacon County",15,35,324
13,001,13,127,GA,"Glynn County",13,36,546
13,001,13,051,GA,"Chatham County",12,30,426
13,001,58,000,SS,"Other Flows - Same State",122,265,3519
13,001,59,000,DS,"Other Flows - Diff State",74,162,1974
13,003,96,000,GA,"Atkinson County Tot Mig-US",149,366,3680
13,003,97,000,GA,"Atkinson County Tot Mig-US",149,366,3680
13,003,97,001,GA,"Atkinson County Tot Mig-Sam",122,311,3266
13,003,97,003,GA,"Atkinson County Tot Mig-Dif",27,55,414
13,003,98,000,GA,"Atkinson County Tot Mig-For",d,d,d
13,003,13,003,GA,"Atkinson County Non-Migrant",2198,5683,66944
13,003,13,069,GA,"Coffee County",55,152,1349
13,003,58,000,SS,"Other Flows - Same State",67,159,1917
13,003,59,000,DS,"Other Flows - Diff State",27,55,414
13,005,96,000,GA,"Bacon County Tot Mig-US & F",181,400,4704
13,005,97,000,GA,"Bacon County Tot Mig-US",181,400,4704
13,005,97,001,GA,"Bacon County Tot Mig-Same S",146,313,3889
13,005,97,003,GA,"Bacon County Tot Mig-Diff S",35,87,815
13,005,98,000,GA,"Bacon County Tot Mig-Foreig",d,d,d
13,005,13,005,GA,"Bacon County Non-Migrants",2926,6861,108062
13,005,13,069,GA,"Coffee County",33,76,740
13,005,13,299,GA,"Ware County",21,42,444
13,005,13,001,GA,"Appling County",19,46,386
13,005,58,000,SS,"Other Flows - Same State",73,149,2320
13,005,59,000,DS,"Other Flows - Diff State",35,87,815
13,007,96,000,GA,"Baker County Tot Mig-US & F",80,177,1979
13,007,97,000,GA,"Baker County Tot Mig-US",80,177,1979
13,007,97,001,GA,"Baker County Tot Mig-Same S",d,d,d
13,007,97,003,GA,"Baker County Tot Mig-Diff S",d,d,d
13,007,98,000,GA,"Baker County Tot Mig-Foreig",d,d,d
13,007,13,007,GA,"Baker County Non-Migrants",980,2190,32732
13,009,96,000,GA,"Baldwin County Tot Mig-US &",990,1888,32482
13,009,97,000,GA,"Baldwin County Tot Mig-US",990,1888,32482
13,009,97,001,GA,"Baldwin County Tot Mig-Same",776,1500,25150
13,009,97,003,GA,"Baldwin County Tot Mig-Diff",214,388,7332
13,009,98,000,GA,"Baldwin County Tot Mig-Fore",d,d,d
13,009,13,009,GA,"Baldwin County Non-Migrants",13159,28182,540662
13,009,13,021,GA,"Bibb County",82,148,2622
13,009,13,237,GA,"Putnam County",76,172,2267
13,009,13,169,GA,"Jones County",56,122,2393
13,009,13,319,GA,"Wilkinson County",56,115,1233
13,009,13,141,GA,"Hancock County",52,110,1299
13,009,13,121,GA,"Fulton County",37,61,1369
13,009,13,153,GA,"Houston County",35,73,1081
