"2005-2006 County to County Migration Outflow",,,,,,"Hawaii Outflows",,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Hawaii,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
15,000,96,000,HI,"Total Mig - US & For",28767,58277,1159592
15,000,97,000,HI,"Total Mig - US",27155,55016,1099469
15,000,97,001,HI,"Total Mig - US Same St",3268,5668,123738
15,000,97,003,HI,"Total Mig - US Diff St",23887,49348,975731
15,000,98,000,HI,"Total Mig - Foreign",1612,3261,60123
15,001,96,000,HI,"Hawaii County Tot Mig-US &",2735,4607,105819
15,001,97,000,HI,"Hawaii County Tot Mig-US",2662,4490,103717
15,001,97,001,HI,"Hawaii County Tot Mig-Same",729,1192,23617
15,001,97,003,HI,"Hawaii County Tot Mig-Diff",1933,3298,80100
15,001,98,000,HI,"Hawaii County Tot Mig-Forei",73,117,2102
15,001,15,001,HI,"Hawaii County Non-Migrants",55199,114558,2655184
15,001,15,003,HI,"Honolulu County",565,922,17538
15,001,15,009,HI,"Maui County",125,207,4677
15,001,32,003,NV,"Clark County",103,179,3227
15,001,53,033,WA,"King County",75,95,1671
15,001,06,037,CA,"Los Angeles County",72,103,3397
15,001,04,013,AZ,"Maricopa County",55,89,1917
15,001,06,073,CA,"San Diego County",53,88,2178
15,001,06,059,CA,"Orange County",36,58,1356
15,001,41,051,OR,"Multnomah County",33,53,957
15,001,06,065,CA,"Riverside County",23,32,782
15,001,53,053,WA,"Pierce County",23,36,554
15,001,06,067,CA,"Sacramento County",21,32,769
15,001,53,061,WA,"Snohomish County",21,30,607
15,001,04,019,AZ,"Pima County",20,35,981
15,001,06,001,CA,"Alameda County",18,25,838
15,001,06,085,CA,"Santa Clara County",18,28,758
15,001,32,031,NV,"Washoe County",18,31,547
15,001,41,039,OR,"Lane County",17,26,679
15,001,02,020,AK,"Anchorage Borough",16,30,505
15,001,06,075,CA,"San Francisco County",16,16,958
15,001,06,111,CA,"Ventura County",15,23,654
15,001,41,067,OR,"Washington County",15,33,525
15,001,57,005,FR,"Foreign - APO/FPO ZIPs",15,26,415
15,001,08,013,CO,"Boulder County",14,18,274
15,001,41,017,OR,"Deschutes County",14,22,805
15,001,41,029,OR,"Jackson County",13,17,584
15,001,49,035,UT,"Salt Lake County",13,28,1271
15,001,06,061,CA,"Placer County",12,22,693
15,001,08,059,CO,"Jefferson County",12,27,423
15,001,35,001,NM,"Bernalillo County",12,21,343
15,001,48,453,TX,"Travis County",12,21,444
15,001,53,011,WA,"Clark County",12,29,568
15,001,06,097,CA,"Sonoma County",11,15,543
15,001,08,041,CO,"El Paso County",11,21,339
15,001,53,073,WA,"Whatcom County",11,16,248
15,001,04,015,AZ,"Mohave County",10,17,331
15,001,06,081,CA,"San Mateo County",10,14,313
15,001,06,083,CA,"Santa Barbara County",10,15,224
15,001,06,087,CA,"Santa Cruz County",10,10,169
15,001,41,047,OR,"Marion County",10,20,402
15,001,58,000,SS,"Other Flows - Same State",39,63,1402
15,001,59,000,DS,"Other Flows - Diff State",1068,1923,48266
15,001,59,001,DS,"Other Flows - Northeast",108,158,3434
15,001,59,003,DS,"Other Flows - Midwest",158,281,5730
15,001,59,005,DS,"Other Flows - South",337,646,12972
15,001,59,007,DS,"Other Flows - West",465,838,26130
15,001,57,009,FR,"Foreign - Other flows",58,91,1687
15,003,96,000,HI,"Honolulu County Tot Mig-US",21899,46572,884891
15,003,97,000,HI,"Honolulu County Tot Mig-US",20437,43552,831739
15,003,97,001,HI,"Honolulu County Tot Mig-Sam",1420,2583,59676
15,003,97,003,HI,"Honolulu County Tot Mig-Dif",19017,40969,772063
15,003,98,000,HI,"Honolulu County Tot Mig-For",1462,3020,53152
15,003,15,003,HI,"Honolulu County Non-Migrant",331901,685543,17906371
15,003,57,005,FR,"Foreign - APO/FPO ZIPs",1034,2268,40016
15,003,32,003,NV,"Clark County",937,1737,31574
15,003,06,073,CA,"San Diego County",857,1814,32601
15,003,15,001,HI,"Hawaii County",724,1361,26414
15,003,06,037,CA,"Los Angeles County",711,1027,30526
15,003,15,009,HI,"Maui County",465,823,23730
15,003,53,033,WA,"King County",424,768,24838
15,003,06,059,CA,"Orange County",296,473,11874
15,003,04,013,AZ,"Maricopa County",281,520,9697
15,003,53,053,WA,"Pierce County",277,713,9890
15,003,48,029,TX,"Bexar County",255,688,11632
15,003,51,059,VA,"Fairfax County",220,565,14357
15,003,48,141,TX,"El Paso County",200,608,6697
15,003,08,041,CO,"El Paso County",188,495,8097
15,003,06,071,CA,"San Bernardino Count",177,406,5985
15,003,53,035,WA,"Kitsap County",176,523,9564
15,003,06,001,CA,"Alameda County",173,291,7403
15,003,06,075,CA,"San Francisco County",173,212,6000
15,003,06,085,CA,"Santa Clara County",172,297,7525
15,003,48,027,TX,"Bell County",170,481,5680
15,003,06,065,CA,"Riverside County",165,371,7921
15,003,51,810,VA,"Virginia Beach",160,417,7025
15,003,24,003,MD,"Anne Arundel County",142,355,8014
15,003,06,067,CA,"Sacramento County",134,255,4777
15,003,37,051,NC,"Cumberland County",130,357,4586
15,003,48,201,TX,"Harris County",127,243,4245
15,003,53,061,WA,"Snohomish County",123,289,5041
15,003,17,031,IL,"Cook County",116,172,3833
15,003,02,020,AK,"Anchorage Borough",115,277,3759
15,003,37,133,NC,"Onslow County",114,293,3839
15,003,41,051,OR,"Multnomah County",113,165,3156
15,003,41,067,OR,"Washington County",111,211,4039
15,003,12,031,FL,"Duval County",105,228,3797
15,003,06,081,CA,"San Mateo County",102,181,4541
15,003,12,057,FL,"Hillsborough County",100,239,4306
15,003,40,031,OK,"Comanche County",100,314,3438
15,003,49,035,UT,"Salt Lake County",98,213,2845
15,003,48,439,TX,"Tarrant County",97,209,3939
15,003,51,153,VA,"Prince William Count",97,251,4734
15,003,06,111,CA,"Ventura County",95,184,3718
15,003,51,700,VA,"Newport News",95,274,3441
15,003,06,053,CA,"Monterey County",92,231,4134
15,003,49,049,UT,"Utah County",90,196,2343
15,003,04,003,AZ,"Cochise County",88,285,3511
15,003,04,019,AZ,"Pima County",87,204,4466
15,003,36,045,NY,"Jefferson County",86,271,2563
15,003,36,061,NY,"New York County",80,98,3341
15,003,53,067,WA,"Thurston County",79,218,2761
15,003,12,086,FL,"Miami Dade County",73,119,2239
15,003,13,215,GA,"Muscogee County",70,177,2425
15,003,48,099,TX,"Coryell County",70,214,2055
15,003,53,029,WA,"Island County",70,191,2544
15,003,12,033,FL,"Escambia County",69,181,2520
15,003,47,125,TN,"Montgomery County",69,196,2410
