"2005-2006 County to County Migration Inflow",,,,,,"Kansas Inflows",,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Kansas,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
20,000,96,000,KS,"Total Mig - US & For",73056,143986,2758102
20,000,97,000,KS,"Total Mig - US",71204,140489,2712019
20,000,97,001,KS,"Total Mig - US Same St",36045,67983,1166603
20,000,97,003,KS,"Total Mig - US Diff St",35159,72506,1545416
20,000,98,000,KS,"Total Mig - Foreign",1852,3497,46082
20,001,96,000,KS,"Allen County Tot Mig-US & F",284,570,6681
20,001,97,000,KS,"Allen County Tot Mig-US",284,570,6681
20,001,97,001,KS,"Allen County Tot Mig-Same S",195,387,4671
20,001,97,003,KS,"Allen County Tot Mig-Diff S",89,183,2009
20,001,98,000,KS,"Allen County Tot Mig-Foreig",d,d,d
20,001,20,001,KS,"Allen County Non-Migrants",4645,10211,183337
20,001,20,133,KS,"Neosho County",33,67,676
20,001,20,003,KS,"Anderson County",17,34,349
20,001,20,207,KS,"Woodson County",14,22,201
20,001,20,091,KS,"Johnson County",12,23,361
20,001,20,037,KS,"Crawford County",11,17,156
20,001,20,011,KS,"Bourbon County",10,28,170
20,001,20,177,KS,"Shawnee County",10,19,225
20,001,58,000,SS,"Other Flows - Same State",88,177,2534
20,001,59,000,DS,"Other Flows - Diff State",89,183,2009
20,003,96,000,KS,"Anderson County Tot Mig-US",186,394,6320
20,003,97,000,KS,"Anderson County Tot Mig-US",186,394,6320
20,003,97,001,KS,"Anderson County Tot Mig-Sam",138,294,4749
20,003,97,003,KS,"Anderson County Tot Mig-Dif",48,100,1570
20,003,98,000,KS,"Anderson County Tot Mig-For",d,d,d
20,003,20,003,KS,"Anderson County Non-Migrant",2792,6457,111229
20,003,20,059,KS,"Franklin County",26,62,974
20,003,20,091,KS,"Johnson County",26,54,1196
20,003,20,001,KS,"Allen County",16,37,447
20,003,20,121,KS,"Miami County",11,18,208
20,003,58,000,SS,"Other Flows - Same State",59,123,1925
20,003,59,000,DS,"Other Flows - Diff State",48,100,1570
20,005,96,000,KS,"Atchison County Tot Mig-US",360,705,11749
20,005,97,000,KS,"Atchison County Tot Mig-US",360,705,11749
20,005,97,001,KS,"Atchison County Tot Mig-Sam",180,365,5574
20,005,97,003,KS,"Atchison County Tot Mig-Dif",180,340,6175
20,005,98,000,KS,"Atchison County Tot Mig-For",d,d,d
20,005,20,005,KS,"Atchison County Non-Migrant",5533,12347,229231
20,005,29,021,MO,"Buchanan County",29,45,655
20,005,20,103,KS,"Leavenworth County",25,57,693
20,005,20,013,KS,"Brown County",22,33,492
20,005,20,091,KS,"Johnson County",20,51,965
