"2005-2006 County to County Migration Outflow",,,,,,"Kentucky Outflows",,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Kentucky,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
21,000,96,000,KY,"Total Mig - US & For",97606,191736,3607766
21,000,97,000,KY,"Total Mig - US",96676,189945,3580211
21,000,97,001,KY,"Total Mig - US Same St",56912,111585,1912956
21,000,97,003,KY,"Total Mig - US Diff St",39764,78360,1667255
21,000,98,000,KY,"Total Mig - Foreign",930,1791,27554
21,001,96,000,KY,"Adair County Tot Mig-US & F",267,550,6594
21,001,97,000,KY,"Adair County Tot Mig-US",267,550,6594
21,001,97,001,KY,"Adair County Tot Mig-Same S",209,410,5000
21,001,97,003,KY,"Adair County Tot Mig-Diff S",58,140,1593
21,001,98,000,KY,"Adair County Tot Mig-Foreig",d,d,d
21,001,21,001,KY,"Adair County Non-Migrants",5069,11528,156657
21,001,21,217,KY,"Taylor County",42,89,1088
21,001,21,207,KY,"Russell County",36,69,620
21,001,21,227,KY,"Warren County",16,26,350
21,001,21,111,KY,"Jefferson County",14,21,564
21,001,21,067,KY,"Fayette County",11,14,261
21,001,21,087,KY,"Green County",11,29,369
21,001,58,000,SS,"Other Flows - Same State",79,162,1748
21,001,59,000,DS,"Other Flows - Diff State",58,140,1593
21,003,96,000,KY,"Allen County Tot Mig-US & F",397,816,11748
21,003,97,000,KY,"Allen County Tot Mig-US",397,816,11748
21,003,97,001,KY,"Allen County Tot Mig-Same S",252,517,7737
21,003,97,003,KY,"Allen County Tot Mig-Diff S",145,299,4011
21,003,98,000,KY,"Allen County Tot Mig-Foreig",d,d,d
21,003,21,003,KY,"Allen County Non-Migrants",5693,13196,215250
21,003,21,227,KY,"Warren County",106,224,3450
21,003,21,009,KY,"Barren County",39,73,1605
21,003,21,213,KY,"Simpson County",30,65,803
21,003,47,165,TN,"Sumner County",24,51,900
21,003,47,111,TN,"Macon County",14,37,313
21,003,47,037,TN,"Davidson County",11,22,423
21,003,21,111,KY,"Jefferson County",10,14,246
21,003,58,000,SS,"Other Flows - Same State",67,141,1634
21,003,59,000,DS,"Other Flows - Diff State",96,189,2375
21,005,96,000,KY,"Anderson County Tot Mig-US",508,935,16138
21,005,97,000,KY,"Anderson County Tot Mig-US",508,935,16138
21,005,97,001,KY,"Anderson County Tot Mig-Sam",416,766,13090
21,005,97,003,KY,"Anderson County Tot Mig-Dif",92,169,3048
21,005,98,000,KY,"Anderson County Tot Mig-For",d,d,d
21,005,21,005,KY,"Anderson County Non-Migrant",7077,16336,353410
21,005,21,073,KY,"Franklin County",138,244,4295
21,005,21,067,KY,"Fayette County",65,104,1834
21,005,21,239,KY,"Woodford County",37,77,1187
21,005,21,167,KY,"Mercer County",26,50,959
21,005,21,211,KY,"Shelby County",21,30,568
21,005,21,229,KY,"Washington County",16,39,309
21,005,21,111,KY,"Jefferson County",14,20,454
21,005,58,000,SS,"Other Flows - Same State",99,202,3484
21,005,59,000,DS,"Other Flows - Diff State",92,169,3048
21,007,96,000,KY,"Ballard County Tot Mig-US &",198,393,5351
21,007,97,000,KY,"Ballard County Tot Mig-US",198,393,5351
21,007,97,001,KY,"Ballard County Tot Mig-Same",142,275,3920
21,007,97,003,KY,"Ballard County Tot Mig-Diff",56,118,1430
21,007,98,000,KY,"Ballard County Tot Mig-Fore",d,d,d
21,007,21,007,KY,"Ballard County Non-Migrants",2753,6243,121523
21,007,21,145,KY,"Mccracken County",91,187,2659
21,007,21,039,KY,"Carlisle County",17,35,496
21,007,58,000,SS,"Other Flows - Same State",34,53,766
21,007,59,000,DS,"Other Flows - Diff State",56,118,1430
21,009,96,000,KY,"Barren County Tot Mig-US &",771,1545,23035
21,009,97,000,KY,"Barren County Tot Mig-US",771,1545,23035
21,009,97,001,KY,"Barren County Tot Mig-Same",557,1130,15791
21,009,97,003,KY,"Barren County Tot Mig-Diff",214,415,7244
21,009,98,000,KY,"Barren County Tot Mig-Forei",d,d,d
21,009,21,009,KY,"Barren County Non-Migrants",13304,29888,552886
21,009,21,227,KY,"Warren County",134,243,4166
21,009,21,169,KY,"Metcalfe County",87,203,2043
21,009,21,099,KY,"Hart County",86,198,1647
21,009,21,111,KY,"Jefferson County",38,66,1129
21,009,21,171,KY,"Monroe County",28,51,596
21,009,21,003,KY,"Allen County",19,40,501
21,009,21,061,KY,"Edmonson County",17,30,480
21,009,47,037,TN,"Davidson County",17,21,574
21,009,21,067,KY,"Fayette County",16,19,424
21,009,21,093,KY,"Hardin County",10,24,434
21,009,58,000,SS,"Other Flows - Same State",122,256,4371
21,009,59,000,DS,"Other Flows - Diff State",197,394,6669
21,009,59,001,DS,"Other Flows - Northeast",10,18,178
21,009,59,003,DS,"Other Flows - Midwest",49,95,1549
21,009,59,005,DS,"Other Flows - South",109,229,4260
21,009,59,007,DS,"Other Flows - West",29,52,682
21,011,96,000,KY,"Bath County Tot Mig-US & Fo",236,486,6417
21,011,97,000,KY,"Bath County Tot Mig-US",236,486,6417
21,011,97,001,KY,"Bath County Tot Mig-Same St",216,444,5929
21,011,97,003,KY,"Bath County Tot Mig-Diff St",20,42,488
21,011,98,000,KY,"Bath County Tot Mig-Foreign",d,d,d
21,011,21,011,KY,"Bath County Non-Migrants",3531,8078,126852
21,011,21,173,KY,"Montgomery County",78,160,2689
21,011,21,205,KY,"Rowan County",29,63,739
21,011,21,067,KY,"Fayette County",17,22,346
21,011,21,049,KY,"Clark County",14,26,326
21,011,21,069,KY,"Fleming County",12,28,251
21,011,21,165,KY,"Menifee County",12,29,248
21,011,58,000,SS,"Other Flows - Same State",54,116,1330
