"2005-2006 County to County Migration Outflow",,,,,,"Nebraska Outflows",,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Nebraska,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
31,000,96,000,NE,"Total Mig - US & For",49134,91860,1861818
31,000,97,000,NE,"Total Mig - US",48655,90949,1842239
31,000,97,001,NE,"Total Mig - US Same St",26754,48429,901400
31,000,97,003,NE,"Total Mig - US Diff St",21901,42520,940838
31,000,98,000,NE,"Total Mig - Foreign",479,911,19579
31,001,96,000,NE,"Adams County Tot Mig-US & F",767,1357,25973
31,001,97,000,NE,"Adams County Tot Mig-US",767,1357,25973
31,001,97,001,NE,"Adams County Tot Mig-Same S",496,871,17048
31,001,97,003,NE,"Adams County Tot Mig-Diff S",271,486,8924
31,001,98,000,NE,"Adams County Tot Mig-Foreig",d,d,d
31,001,31,001,NE,"Adams County Non-Migrants",10380,23466,521762
31,001,31,109,NE,"Lancaster County",112,175,3012
31,001,31,079,NE,"Hall County",86,156,5084
31,001,31,055,NE,"Douglas County",65,96,1911
31,001,31,035,NE,"Clay County",35,90,1213
31,001,31,019,NE,"Buffalo County",32,48,856
31,001,31,153,NE,"Sarpy County",19,31,741
31,001,31,181,NE,"Webster County",15,26,358
31,001,04,013,AZ,"Maricopa County",11,16,206
31,001,31,129,NE,"Nuckolls County",11,14,248
31,001,31,099,NE,"Kearney County",10,14,346
31,001,58,000,SS,"Other Flows - Same State",111,221,3278
31,001,59,000,DS,"Other Flows - Diff State",260,470,8719
31,001,59,001,DS,"Other Flows - Northeast",13,17,264
31,001,59,003,DS,"Other Flows - Midwest",94,163,3422
31,001,59,005,DS,"Other Flows - South",66,125,2060
31,001,59,007,DS,"Other Flows - West",87,165,2972
31,003,96,000,NE,"Antelope County Tot Mig-US",188,361,6040
31,003,97,000,NE,"Antelope County Tot Mig-US",188,361,6040
31,003,97,001,NE,"Antelope County Tot Mig-Sam",152,284,4641
31,003,97,003,NE,"Antelope County Tot Mig-Dif",36,77,1400
31,003,98,000,NE,"Antelope County Tot Mig-For",d,d,d
31,003,31,003,NE,"Antelope County Non-Migrant",2390,5723,89617
31,003,31,119,NE,"Madison County",45,95,1509
31,003,31,109,NE,"Lancaster County",24,35,688
31,003,31,055,NE,"Douglas County",13,17,306
31,003,58,000,SS,"Other Flows - Same State",70,137,2137
31,003,59,000,DS,"Other Flows - Diff State",36,77,1400
31,005,96,000,NE,"Arthur County Tot Mig-US &",d,d,d
31,005,97,000,NE,"Arthur County Tot Mig-US",d,d,d
31,005,97,001,NE,"Arthur County Tot Mig-Same",d,d,d
31,005,97,003,NE,"Arthur County Tot Mig-Diff",d,d,d
31,005,98,000,NE,"Arthur County Tot Mig-Forei",d,d,d
31,005,31,005,NE,"Arthur County Non-Migrants",d,d,d
31,007,96,000,NE,"Banner County Tot Mig-US &",d,d,d
31,007,97,000,NE,"Banner County Tot Mig-US",d,d,d
31,007,97,001,NE,"Banner County Tot Mig-Same",d,d,d
31,007,97,003,NE,"Banner County Tot Mig-Diff",d,d,d
31,007,98,000,NE,"Banner County Tot Mig-Forei",d,d,d
31,007,31,007,NE,"Banner County Non-Migrants",d,d,d
31,009,96,000,NE,"Blaine County Tot Mig-US &",d,d,d
31,009,97,000,NE,"Blaine County Tot Mig-US",d,d,d
31,009,97,001,NE,"Blaine County Tot Mig-Same",d,d,d
31,009,97,003,NE,"Blaine County Tot Mig-Diff",d,d,d
31,009,98,000,NE,"Blaine County Tot Mig-Forei",d,d,d
31,009,31,009,NE,"Blaine County Non-Migrants",d,d,d
31,011,96,000,NE,"Boone County Tot Mig-US & F",129,210,3420
31,011,97,000,NE,"Boone County Tot Mig-US",129,210,3420
