"2005-2006 County to County Migration Inflow",,,,,,"WestVirginia Inflows",,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
WestVirginia,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
54,000,96,000,WV,"Total Mig - US & For",36299,71366,1311564
54,000,97,000,WV,"Total Mig - US",35802,70678,1304146
54,000,97,001,WV,"Total Mig - US Same St",16744,32384,520035
54,000,97,003,WV,"Total Mig - US Diff St",19058,38294,784111
54,000,98,000,WV,"Total Mig - Foreign",497,688,7419
54,001,96,000,WV,"Barbour County Tot Mig-US &",305,620,8218
54,001,97,000,WV,"Barbour County Tot Mig-US",305,620,8218
54,001,97,001,WV,"Barbour County Tot Mig-Same",196,393,4729
54,001,97,003,WV,"Barbour County Tot Mig-Diff",109,227,3489
54,001,98,000,WV,"Barbour County Tot Mig-Fore",d,d,d
54,001,54,001,WV,"Barbour County Non-Migrants",4837,10918,167877
54,001,54,083,WV,"Randolph County",67,136,1306
54,001,54,033,WV,"Harrison County",29,55,768
54,001,54,097,WV,"Upshur County",22,46,593
54,001,54,091,WV,"Taylor County",17,36,362
54,001,54,061,WV,"Monongalia County",14,26,378
54,001,58,000,SS,"Other Flows - Same State",47,94,1322
54,001,59,000,DS,"Other Flows - Diff State",109,227,3489
54,003,96,000,WV,"Berkeley County Tot Mig-US",3600,7504,172424
54,003,97,000,WV,"Berkeley County Tot Mig-US",3586,7469,171641
54,003,97,001,WV,"Berkeley County Tot Mig-Sam",858,1676,32261
54,003,97,003,WV,"Berkeley County Tot Mig-Dif",2728,5793,139380
54,003,98,000,WV,"Berkeley County Tot Mig-For",14,35,783
54,003,54,003,WV,"Berkeley County Non-Migrant",32612,70894,1620402
54,003,54,037,WV,"Jefferson County",553,1136,21850
54,003,24,043,MD,"Washington County",315,607,13742
54,003,51,069,VA,"Frederick County",231,487,10892
54,003,24,021,MD,"Frederick County",210,485,10819
54,003,24,031,MD,"Montgomery County",199,441,10931
54,003,51,107,VA,"Loudoun County",153,367,8880
54,003,51,059,VA,"Fairfax County",122,283,8268
54,003,51,840,VA,Winchester,108,238,5566
54,003,51,153,VA,"Prince William Count",88,228,5016
54,003,54,065,WV,"Morgan County",88,167,2841
54,003,24,033,MD,"Prince George's Coun",70,164,3287
54,003,42,055,PA,"Franklin County",58,122,2275
54,003,24,003,MD,"Anne Arundel County",53,111,2764
54,003,51,043,VA,"Clarke County",29,49,1057
54,003,51,187,VA,"Warren County",28,54,1377
54,003,54,061,WV,"Monongalia County",27,36,845
54,003,24,005,MD,"Baltimore County",25,45,872
54,003,54,057,WV,"Mineral County",25,48,939
54,003,11,001,DC,"District Of Columbia",21,42,9451
54,003,24,013,MD,"Carroll County",21,46,988
54,003,24,027,MD,"Howard County",21,46,1274
54,003,54,027,WV,"Hampshire County",19,41,802
54,003,51,013,VA,"Arlington County",17,24,757
54,003,51,171,VA,"Shenandoah County",16,33,654
54,003,54,031,WV,"Hardy County",16,35,392
54,003,54,033,WV,"Harrison County",14,24,490
54,003,24,001,MD,"Allegany County",13,18,322
54,003,24,017,MD,"Charles County",12,32,751
54,003,42,003,PA,"Allegheny County",12,20,465
54,003,51,683,VA,Manassas,12,28,521
54,003,54,039,WV,"Kanawha County",12,30,742
54,003,04,013,AZ,"Maricopa County",11,18,326
54,003,24,510,MD,Baltimore,11,16,477
54,003,51,061,VA,"Fauquier County",11,13,751
54,003,24,025,MD,"Harford County",10,27,654
54,003,58,000,SS,"Other Flows - Same State",104,159,3359
54,003,59,000,DS,"Other Flows - Diff State",851,1749,36240
54,003,59,001,DS,"Other Flows - Northeast",199,391,8773
54,003,59,003,DS,"Other Flows - Midwest",120,273,5712
54,003,59,005,DS,"Other Flows - South",438,891,17262
54,003,59,007,DS,"Other Flows - West",94,194,4494
54,003,57,009,FR,"Foreign - Other flows",14,35,783
54,005,96,000,WV,"Boone County Tot Mig-US & F",377,797,11517
54,005,97,000,WV,"Boone County Tot Mig-US",377,797,11517
54,005,97,001,WV,"Boone County Tot Mig-Same S",250,510,7306
54,005,97,003,WV,"Boone County Tot Mig-Diff S",127,287,4211
54,005,98,000,WV,"Boone County Tot Mig-Foreig",d,d,d
54,005,54,005,WV,"Boone County Non-Migrants",7293,17258,309007
54,005,54,039,WV,"Kanawha County",72,142,1772
54,005,54,045,WV,"Logan County",66,138,2363
54,005,54,043,WV,"Lincoln County",26,66,827
54,005,54,081,WV,"Raleigh County",22,53,663
54,005,54,079,WV,"Putnam County",11,14,237
54,005,54,011,WV,"Cabell County",10,12,158
54,005,58,000,SS,"Other Flows - Same State",43,85,1286
54,005,59,000,DS,"Other Flows - Diff State",127,287,4211
54,007,96,000,WV,"Braxton County Tot Mig-US &",210,459,6261
54,007,97,000,WV,"Braxton County Tot Mig-US",210,459,6261
54,007,97,001,WV,"Braxton County Tot Mig-Same",132,277,4276
54,007,97,003,WV,"Braxton County Tot Mig-Diff",78,182,1985
54,007,98,000,WV,"Braxton County Tot Mig-Fore",d,d,d
54,007,54,007,WV,"Braxton County Non-Migrants",3873,8795,140124
54,007,54,021,WV,"Gilmer County",20,35,445
54,007,54,041,WV,"Lewis County",18,40,449
54,007,54,039,WV,"Kanawha County",14,31,879
54,007,54,015,WV,"Clay County",12,26,363
54,007,54,067,WV,"Nicholas County",12,24,299
54,007,54,101,WV,"Webster County",11,21,238
54,007,58,000,SS,"Other Flows - Same State",45,100,1603
54,007,59,000,DS,"Other Flows - Diff State",78,182,1985
54,009,96,000,WV,"Brooke County Tot Mig-US &",371,693,10681
54,009,97,000,WV,"Brooke County Tot Mig-US",371,693,10681
54,009,97,001,WV,"Brooke County Tot Mig-Same",157,297,4225
54,009,97,003,WV,"Brooke County Tot Mig-Diff",214,396,6455
54,009,98,000,WV,"Brooke County Tot Mig-Forei",d,d,d
54,009,54,009,WV,"Brooke County Non-Migrants",8846,18720,367777
54,009,54,029,WV,"Hancock County",78,155,2038
54,009,39,081,OH,"Jefferson County",45,84,1181
54,009,54,069,WV,"Ohio County",39,70,1167
54,009,42,125,PA,"Washington County",28,58,924
54,009,42,003,PA,"Allegheny County",17,29,790
54,009,58,000,SS,"Other Flows - Same State",40,72,1020
54,009,59,000,DS,"Other Flows - Diff State",124,225,3560
54,009,59,001,DS,"Other Flows - Northeast",24,47,773
54,009,59,003,DS,"Other Flows - Midwest",40,75,1129
54,009,59,005,DS,"Other Flows - South",47,84,1328
54,009,59,007,DS,"Other Flows - West",13,19,331
54,011,96,000,WV,"Cabell County Tot Mig-US &",2177,3903,61874
54,011,97,000,WV,"Cabell County Tot Mig-US",2099,3822,61372
54,011,97,001,WV,"Cabell County Tot Mig-Same",1041,1828,26923
54,011,97,003,WV,"Cabell County Tot Mig-Diff",1058,1994,34449
54,011,98,000,WV,"Cabell County Tot Mig-Forei",78,81,501
54,011,54,011,WV,"Cabell County Non-Migrants",30527,63470,1425819
54,011,54,099,WV,"Wayne County",290,566,6705
54,011,39,087,OH,"Lawrence County",218,425,5097
54,011,54,039,WV,"Kanawha County",168,278,5112
54,011,54,079,WV,"Putnam County",166,326,5106
54,011,54,043,WV,"Lincoln County",84,169,2017
54,011,54,053,WV,"Mason County",35,64,855
54,011,54,045,WV,"Logan County",32,43,703
54,011,54,081,WV,"Raleigh County",30,46,734
54,011,21,019,KY,"Boyd County",29,46,682
54,011,39,049,OH,"Franklin County",28,61,1190
54,011,54,107,WV,"Wood County",22,29,480
54,011,54,019,WV,"Fayette County",19,22,384
54,011,54,059,WV,"Mingo County",19,25,402
54,011,54,061,WV,"Monongalia County",19,34,705
54,011,39,053,OH,"Gallia County",18,31,353
54,011,21,067,KY,"Fayette County",13,19,402
54,011,21,089,KY,"Greenup County",12,16,175
54,011,54,005,WV,"Boone County",11,18,234
54,011,54,025,WV,"Greenbrier County",11,14,246
54,011,54,033,WV,"Harrison County",11,16,426
54,011,54,055,WV,"Mercer County",11,21,392
54,011,39,145,OH,"Scioto County",10,18,193
54,011,54,035,WV,"Jackson County",10,14,380
54,011,58,000,SS,"Other Flows - Same State",103,143,2042
54,011,59,000,DS,"Other Flows - Diff State",730,1378,26356
54,011,59,001,DS,"Other Flows - Northeast",77,127,2592
54,011,59,003,DS,"Other Flows - Midwest",152,290,6409
54,011,59,005,DS,"Other Flows - South",431,832,14845
54,011,59,007,DS,"Other Flows - West",70,129,2510
54,011,57,009,FR,"Foreign - Other flows",78,81,501
54,013,96,000,WV,"Calhoun County Tot Mig-US &",114,260,3190
54,013,97,000,WV,"Calhoun County Tot Mig-US",114,260,3190
54,013,97,001,WV,"Calhoun County Tot Mig-Same",70,168,1754
54,013,97,003,WV,"Calhoun County Tot Mig-Diff",44,92,1436
54,013,98,000,WV,"Calhoun County Tot Mig-Fore",d,d,d
54,013,54,013,WV,"Calhoun County Non-Migrants",2156,4856,71136
54,013,54,107,WV,"Wood County",12,26,284
54,013,54,021,WV,"Gilmer County",11,28,269
54,013,54,087,WV,"Roane County",10,30,182
54,013,58,000,SS,"Other Flows - Same State",37,84,1019
54,013,59,000,DS,"Other Flows - Diff State",44,92,1436
54,015,96,000,WV,"Clay County Tot Mig-US & Fo",142,301,4171
54,015,97,000,WV,"Clay County Tot Mig-US",142,301,4171
54,015,97,001,WV,"Clay County Tot Mig-Same St",95,214,2579
54,015,97,003,WV,"Clay County Tot Mig-Diff St",47,87,1592
54,015,98,000,WV,"Clay County Tot Mig-Foreign",d,d,d
54,015,54,015,WV,"Clay County Non-Migrants",2720,6585,91067
54,015,54,039,WV,"Kanawha County",36,82,1225
54,015,54,067,WV,"Nicholas County",14,33,387
54,015,58,000,SS,"Other Flows - Same State",45,99,967
54,015,59,000,DS,"Other Flows - Diff State",47,87,1592
54,017,96,000,WV,"Doddridge Count Tot Mig-US",113,243,3251
54,017,97,000,WV,"Doddridge Count Tot Mig-US",113,243,3251
54,017,97,001,WV,"Doddridge Count Tot Mig-Sam",72,160,1978
54,017,97,003,WV,"Doddridge Count Tot Mig-Dif",41,83,1272
54,017,98,000,WV,"Doddridge Count Tot Mig-For",d,d,d
54,017,54,017,WV,"Doddridge Count Non-Migrant",1551,3559,53836
54,017,54,033,WV,"Harrison County",32,82,905
54,017,58,000,SS,"Other Flows - Same State",40,78,1073
54,017,59,000,DS,"Other Flows - Diff State",41,83,1272
54,019,96,000,WV,"Fayette County Tot Mig-US &",805,1591,21729
54,019,97,000,WV,"Fayette County Tot Mig-US",794,1577,21472
54,019,97,001,WV,"Fayette County Tot Mig-Same",439,887,12037
54,019,97,003,WV,"Fayette County Tot Mig-Diff",355,690,9435
54,019,98,000,WV,"Fayette County Tot Mig-Fore",11,14,258
54,019,54,019,WV,"Fayette County Non-Migrants",13719,30303,494844
54,019,54,081,WV,"Raleigh County",168,327,4065
54,019,54,039,WV,"Kanawha County",80,159,2209
54,019,54,067,WV,"Nicholas County",47,102,1303
54,019,54,025,WV,"Greenbrier County",28,61,591
54,019,54,015,WV,"Clay County",11,27,420
54,019,54,089,WV,"Summers County",10,19,251
54,019,58,000,SS,"Other Flows - Same State",95,192,3197
54,019,59,000,DS,"Other Flows - Diff State",355,690,9435
54,019,59,001,DS,"Other Flows - Northeast",32,63,794
54,019,59,003,DS,"Other Flows - Midwest",78,167,1718
54,019,59,005,DS,"Other Flows - South",214,404,5888
54,019,59,007,DS,"Other Flows - West",31,56,1034
54,019,57,009,FR,"Foreign - Other flows",11,14,258
54,021,96,000,WV,"Gilmer County Tot Mig-US &",143,318,4320
54,021,97,000,WV,"Gilmer County Tot Mig-US",143,318,4320
54,021,97,001,WV,"Gilmer County Tot Mig-Same",84,190,2396
54,021,97,003,WV,"Gilmer County Tot Mig-Diff",59,128,1924
54,021,98,000,WV,"Gilmer County Tot Mig-Forei",d,d,d
54,021,54,021,WV,"Gilmer County Non-Migrants",1840,4068,64399
54,021,54,007,WV,"Braxton County",25,65,648
54,021,54,013,WV,"Calhoun County",10,22,189
54,021,54,041,WV,"Lewis County",10,25,314
54,021,58,000,SS,"Other Flows - Same State",39,78,1244
